Sentence,Tense,Verb,NER Tag,encode_sent
you lost your food,2,lost,"0,2,0,0","0, 266, 2059, 345, 752, 2"
the table almost tipped,2,tipped,"0,0,0,2","0, 321, 1018, 1423, 10169, 2"
where's your shoe,1,s,"0,4,0,0","0, 442, 279, 345, 1499, 2"
that's not it,1,s,"0,4,0,0","0, 363, 279, 419, 290, 2"
what's Ricky,1,s,"0,4,0","0, 312, 279, 10876, 2"
where did you see Ricky,2,did,"0,2,0,3,0","0, 442, 407, 273, 384, 10876, 2"
fishing,0,None,5,"0, 17186, 2"
did he catch any fish,2,did,"2,0,3,0,0","0, 546, 301, 1514, 520, 1225, 2"
I was just looking at it,2,was,"0,2,0,5,0,0","0, 45, 405, 458, 1095, 396, 290, 2"
what's what,1,s,"0,4,0","0, 312, 279, 339, 2"
no don't write on the book,1,don't,"0,1,0,3,0,0,0","0, 286, 358, 309, 1330, 307, 272, 523, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
no,0,None,0,"0, 286, 2"
oh I need a little spanking,1,need,"0,0,1,0,0,0","0, 332, 322, 664, 265, 439, 6679, 2"
well what about you,0,None,"0,0,0,0","0, 492, 339, 482, 273, 2"
do you need a little spanking,1,do,"1,0,3,0,0,0","0, 410, 273, 664, 265, 439, 6679, 2"
who's crying Adam,1,s,"0,4,5,0","0, 478, 279, 2207, 1834, 2"
he got it out,2,got,"0,2,0,0","0, 262, 449, 290, 428, 2"
no Adam,0,None,"0,0","0, 286, 1834, 2"
Adam,0,None,0,"0, 2637, 2"
no,0,None,0,"0, 286, 2"
because I don't want it open,1,don't,"0,0,1,0,3,0,0","0, 1066, 322, 358, 309, 427, 290, 892, 2"
you shoot him with a gun,1,shoot,"0,1,0,0,0,0","0, 266, 3595, 502, 392, 265, 3302, 2"
careful Adam,0,None,"0,0","0, 2041, 1834, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
Adam give him his comb please honey,1,give,"0,1,0,0,0,0,0","0, 2637, 683, 502, 505, 2103, 909, 925, 2"
see the circus,1,see,"1,0,0","0, 584, 272, 2899, 2"
oh Friday night we let him have his bath,1,let,"0,0,0,0,1,0,3,0,0","0, 332, 2500, 905, 331, 538, 502, 381, 505, 1150, 2"
and then he watches the circus on television,1,watches,"0,0,0,1,0,0,0,0","0, 347, 541, 301, 6407, 272, 2899, 307, 4113, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
I don't know but don't you bother it again,1,don't,"0,1,0,3,0,1,0,0,3,0,0","0, 45, 358, 309, 378, 493, 358, 309, 273, 3394, 290, 691, 2"
but don't you bother it again,1,don't,"0,1,0,0,3,0,0","0, 545, 358, 309, 273, 3394, 290, 691, 2"
no Adam,0,None,"0,0","0, 286, 1834, 2"
no,0,None,0,"0, 286, 2"
no Adam we don't leave the television set on,1,don't,"0,0,0,1,0,3,0,0,0,0","0, 286, 1834, 331, 358, 309, 1259, 272, 4113, 1595, 307, 2"
they're all gone until tomorrow,1,re,"0,4,0,8,0,0","0, 544, 375, 432, 1581, 1662, 1596, 2"
they're all rolled up on some tape somewhere,1,re,"0,4,0,8,0,0,0,0,0","0, 544, 375, 432, 4932, 403, 307, 430, 1228, 2322, 2"
dum dum,0,None,"0,0","0, 7642, 5528, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
dum dum what,0,None,"0,0,0","0, 7642, 5528, 339, 2"
dum dum doggie,0,None,"0,0,0","0, 7642, 5528, 1407, 2"
careful Adam,0,None,"0,0","0, 2041, 1834, 2"
what,0,None,0,"0, 312, 2"
roping me,0,None,"5,0,0","0, 1431, 291, 376, 2"
that's not rope honey,1,s,"0,4,0,0,0","0, 363, 279, 419, 4448, 925, 2"
don't do that Adam,1,don't,"1,0,3,0,0","0, 629, 309, 299, 296, 1834, 2"
no,0,None,0,"0, 286, 2"
you can't do that,1,can't,"0,7,0,3,0","0, 266, 377, 309, 299, 296, 2"
you may hit somebody,1,may,"0,7,3,0","0, 266, 1719, 1467, 1501, 2"
okay,0,None,0,"0, 367, 2"
you stay over there in the corner there,1,stay,"0,1,0,0,0,0,0,0","0, 266, 1013, 521, 386, 318, 272, 2551, 386, 2"
where is your rope,1,is,"0,1,0,0","0, 442, 328, 345, 4448, 2"
didn't you have some shoelaces down here,2,didn't,"2,0,0,3,0,0,0,0","0, 2294, 309, 273, 381, 430, 13528, 483, 402, 2"
in the fireplace,0,None,"0,0,0","0, 268, 272, 6781, 2"
it's messy,1,s,"0,4,0","0, 274, 279, 3566, 2"
where did you hear of dum dum,2,did,"0,2,0,3,0,0,0","0, 442, 407, 273, 960, 340, 5528, 5528, 2"
or who is dum dum,1,is,"0,0,1,0,0","0, 313, 592, 328, 5528, 5528, 2"
what is dum dum,1,is,"0,1,0,0","0, 312, 328, 5528, 5528, 2"
I'm dum dum,1,m,"0,4,0,0","0, 45, 488, 5528, 5528, 2"
well what does dum dum do,1,does,"0,0,1,0,0,3","0, 492, 339, 462, 5528, 5528, 299, 2"
walk,1,walk,1,"0, 2837, 2"
a camel or a camera,0,None,"0,0,0,0,0","0, 69, 5115, 501, 265, 3083, 2"
a what,0,None,"0,0","0, 69, 339, 2"
a hammer,0,None,"0,0","0, 69, 2675, 2"
you had a nail didn't you,2,had,"0,2,0,0,2,0,0","0, 266, 630, 265, 4672, 611, 309, 273, 2"
didn't you,2,didn't,"2,0,0","0, 2294, 309, 273, 2"
you left a nail,2,left,"0,2,0,0","0, 266, 1534, 265, 4672, 2"
you lost a nail,2,lost,"0,2,0,0","0, 266, 2059, 265, 4672, 2"
Adam you play too rough,1,play,"0,0,1,0,0","0, 2637, 273, 465, 498, 3432, 2"
Adam,0,None,0,"0, 2637, 2"
yes but where do you spit,1,do,"0,0,0,1,0,3","0, 506, 493, 605, 299, 273, 3924, 2"
spit on toilet seat,1,spit,"1,0,0,0","0, 10000, 307, 4221, 2007, 2"
yes if you hafta spit you go up,1,hafta,"0,0,0,1,3,0,1,0","0, 506, 518, 273, 586, 3924, 273, 316, 403, 2"
you go up,1,go,"0,1,0","0, 266, 316, 403, 2"
spit in the toilet,1,spit,"1,0,0,0","0, 10000, 318, 272, 4221, 2"
well then don't do that again,1,don't,"0,0,1,0,3,0,0","0, 492, 541, 358, 309, 299, 296, 691, 2"
here come get a kleenex,1,come,"0,1,3,0,0","0, 355, 553, 394, 265, 6158, 2"
and wipe your mouth,1,wipe,"0,1,0,0","0, 347, 2244, 345, 813, 2"
Adam do,0,None,"0,0","0, 2637, 299, 2"
didn't he go to school,2,didn't,"2,0,0,3,0,0","0, 2294, 309, 301, 316, 302, 828, 2"
where's the other part,1,s,"0,4,0,0,0","0, 442, 279, 272, 617, 1031, 2"
no now now,0,None,"0,0,0","0, 286, 508, 508, 2"
why,0,None,0,"0, 601, 2"
because you may hit somebody with it,1,may,"0,0,7,3,0,0,0","0, 1066, 273, 1719, 1467, 1501, 392, 290, 2"
hm,0,None,0,"0, 429, 2"
you may throw it,1,may,"0,7,3,0","0, 266, 1719, 1037, 290, 2"
no throw it to me,1,throw,"0,1,0,0,0","0, 286, 1037, 290, 302, 376, 2"
one at a time,0,None,"0,0,0,0","0, 464, 396, 265, 627, 2"
I can't catch but one,1,can't,"0,7,0,3,0,0","0, 45, 377, 309, 1514, 493, 383, 2"
how many balls can you find,1,can't,"0,0,0,7,0,3","0, 467, 907, 2535, 377, 273, 804, 2"
try to put them in the oatmeal box,1,try,"1,0,3,0,0,0,0,0","0, 1393, 302, 416, 495, 318, 272, 2832, 901, 2"
is there one behind the door,1,is,"1,0,0,0,0,0","0, 281, 386, 383, 1443, 272, 993, 2"
didn't you put one in the box,2,didn't,"2,0,0,3,0,0,0,0","0, 2294, 309, 273, 416, 383, 318, 272, 901, 2"
you've got the blue one in there haven't you,1,ve,"0,4,8,0,0,0,0,0,4,0,0","0, 266, 749, 449, 272, 1077, 383, 318, 386, 1599, 309, 273, 2"
haven't you,1,haven't,"4,0,0","0, 7264, 309, 273, 2"
that came from a coffee can,2,came,"0,2,0,0,0,0","0, 363, 994, 721, 265, 1411, 377, 2"
it may cut you,1,may,"0,7,3,0","0, 274, 1719, 1123, 273, 2"
no,0,None,0,"0, 286, 2"
I don't think you can get it back on there,1,don't,"0,1,0,3,0,7,1,0,0,0,0","0, 45, 358, 309, 399, 273, 377, 394, 290, 511, 307, 386, 2"
it's broken,1,s,"0,4,0","0, 274, 279, 1960, 2"
how many do you have,1,don't,"0,0,1,0,3","0, 467, 907, 299, 273, 381, 2"
what's too small,1,s,"0,4,0,0","0, 312, 279, 498, 1340, 2"
that's too small,1,s,"0,4,0,0","0, 363, 279, 498, 1340, 2"
where one what,0,None,"0,0,0","0, 442, 383, 339, 2"
tell me how many balls you have in there,1,tell,"1,0,0,0,0,0,1,0,0","0, 1162, 376, 561, 907, 2535, 273, 381, 318, 386, 2"
how many balls you have in there,1,have,"0,0,0,0,1,0,0","0, 467, 907, 2535, 273, 381, 318, 386, 2"
three,0,None,0,"0, 1740, 2"
okay you count and let me see,1,count,"0,0,1,0,1,0,3","0, 367, 273, 1512, 329, 538, 376, 384, 2"
let me see,1,let,"1,0,3","0, 489, 376, 384, 2"
put them in my lap as you count them,1,put,"1,0,0,0,0,1,0,1,0","0, 676, 495, 318, 510, 2328, 616, 273, 1512, 495, 2"
you count them,1,count,"0,1,0","0, 266, 1512, 495, 2"
how many,0,None,"0,0","0, 467, 907, 2"
three,0,None,0,"0, 1740, 2"
I saw more than three,2,saw,"0,2,0,0,0","0, 45, 1099, 525, 1055, 924, 2"
okay count again,1,count,"0,1,0","0, 367, 1512, 691, 2"
let's hear you count,1,let's,"1,0,3,0,1","0, 489, 279, 960, 273, 1512, 2"
that's one,1,s,"0,4,0","0, 363, 279, 383, 2"
two,0,None,0,"0, 1201, 2"
three,0,None,0,"0, 1740, 2"
four five,0,None,"0,0","0, 2088, 1176, 2"
that's all,1,s,"0,4,0","0, 363, 279, 432, 2"
one two three four five,0,None,"0,0,0,0,0","0, 464, 659, 924, 1140, 1176, 2"
one two three four five,0,None,"0,0,0,0,0","0, 464, 659, 924, 1140, 1176, 2"
just one,0,None,"0,0","0, 799, 383, 2"
one one one one one how many do you have in there,1,do,"0,0,0,0,0,0,0,1,0,3,0,0","0, 464, 383, 383, 383, 383, 561, 907, 299, 273, 381, 318, 386, 2"
what,0,None,0,"0, 312, 2"
franks,0,None,"0,0","0, 18897, 87, 2"
what kind of franks,0,None,"0,0,0,0","0, 312, 549, 340, 27340, 2"
what,0,None,0,"0, 312, 2"
don't shoot Mr Cowboy,1,don't,"1,0,3,0,0","0, 629, 309, 3595, 2695, 14065, 2"
oh Adam,0,None,"0,0","0, 332, 1834, 2"
hold it up not hang it up,1,hold,"1,0,0,0,1,0,0","0, 1667, 290, 403, 419, 1942, 290, 403, 2"
not hang it up,1,hang,"0,1,0,0","0, 829, 1942, 290, 403, 2"
one two three four what happened,2,happened,"0,0,0,0,0,2","0, 464, 659, 924, 1140, 339, 917, 2"
one two three four,0,None,"0,0,0,0","0, 464, 659, 924, 1140, 2"
it popped,2,popped,"0,2","0, 274, 5093, 2"
you what,0,None,"0,0","0, 266, 339, 2"
you slipped,2,slipped,"0,2","0, 266, 8729, 2"
did you hurt yourself,2,did,"2,0,0,0","0, 546, 273, 1173, 1300, 2"
oh is that a game,1,is,"0,1,0,0,0","0, 332, 328, 296, 265, 1481, 2"
what's the name of that game,1,s,"0,4,0,0,0,0,0","0, 312, 279, 272, 766, 340, 296, 1481, 2"
yes what's the name of that game,1,s,"0,0,4,0,0,0,0,0","0, 506, 339, 279, 272, 766, 340, 296, 1481, 2"
turn it over,1,turn,"1,0,0","0, 1321, 290, 521, 2"
you're doing what,1,re,"0,4,5,0","0, 266, 375, 593, 339, 2"
playing games,0,None,"5,0","0, 5174, 3002, 2"
boat what,0,None,"0,0","0, 4590, 339, 2"
boat somes,0,None,"0,0,0","0, 4590, 6482, 297, 2"
play games,1,play,"1,0","0, 1981, 3002, 2"
what,0,None,0,"0, 312, 2"
what come from the yellow one or the red one,1,come,"0,1,0,0,0,0,0,0,0,0","0, 312, 553, 721, 272, 1195, 383, 501, 272, 950, 383, 2"
I don't think that writes,1,don't,"0,1,0,3,0,1","0, 45, 358, 309, 399, 296, 9116, 2"
that writes,1,writes,"0,1","0, 363, 9116, 2"
dump them in there,1,dump,"1,0,0,0","0, 5464, 495, 318, 386, 2"
you know what happened,2,happened,"0,0,0,2","0, 266, 378, 339, 917, 2"
what's so big,1,s,"0,4,0,0","0, 312, 279, 437, 535, 2"
I'm so big,1,m,"0,4,0,0","0, 45, 488, 437, 535, 2"
yes I am so big,1,am,"0,0,1,0,0","0, 506, 322, 1310, 437, 535, 2"
I can't ride in your wagon,1,can't,"0,7,0,3,0,0,0","0, 45, 377, 309, 1446, 318, 345, 3753, 2"
oh was that coffee,2,was,"0,2,0,0","0, 332, 405, 296, 1411, 2"
Adam,0,None,0,"0, 2637, 2"
Adam no honey what will he write on,3,will,"0,0,0,0,9,0,3,0","0, 2637, 361, 925, 339, 733, 301, 1330, 307, 2"
well what's the matter,1,s,"0,0,4,0,0","0, 492, 339, 279, 272, 1575, 2"
why are so full of energy like that in spurts,1,are,"0,1,0,0,0,0,0,0,0,0","0, 601, 385, 437, 1808, 340, 7594, 349, 296, 318, 29901, 2"
no what,0,None,"0,0","0, 286, 339, 2"
Adam don't kick anybody,1,don't,"0,1,0,3,0","0, 2637, 358, 309, 2287, 2150, 2"
Adam,0,None,0,"0, 2637, 2"
do you want me to take your shoes off,1,do,"1,0,3,0,0,3,0,0,0","0, 410, 273, 427, 376, 302, 577, 345, 1112, 581, 2"
well I'll hafta if you kick anybody,3,ll,"0,0,6,3,0,0,1,0","0, 492, 322, 436, 586, 518, 273, 2287, 2150, 2"
if you kick anybody,1,kick,"0,0,1,0","0, 426, 273, 2287, 2150, 2"
what did you throw,2,did,"0,0,1,0","0, 312, 407, 273, 1037, 2"
you're not sposta throw anything in the air,1,re,"0,4,0,8,3,0,0,0,0","0, 266, 375, 419, 1322, 1037, 941, 318, 272, 1276, 2"
did you know that,2,did,"2,0,3,0","0, 546, 273, 378, 296, 2"
you don't know that,1,don't,"2,0,0,3,0","0, 266, 358, 309, 378, 296, 2"
well now you know it because I just told you,1,know,"0,0,0,1,0,0,0,0,2,0","0, 492, 508, 273, 378, 290, 879, 322, 458, 1382, 273, 2"
because I just told you,2,told,"0,0,0,2,0","0, 1066, 322, 458, 1382, 273, 2"
you hafta do them one at a time,1,hafta,"0,1,3,0,0,0,0,0","0, 266, 586, 299, 495, 383, 396, 265, 627, 2"
you're going to have fun picking those up aren't you,3,re going to,"0,4,5,0,3,0,5,0,0,1,0,0","0, 266, 375, 497, 302, 381, 1040, 3063, 594, 403, 1372, 309, 273, 2"
okay,0,None,0,"0, 367, 2"
no I'll hafta put it up now Adam,3,ll,"0,0,6,3,3,0,0,0,0","0, 286, 322, 436, 586, 416, 290, 403, 508, 1834, 2"
what,0,None,0,"0, 312, 2"
you don't wanna play games,1,don't,"0,1,0,3,3,0","0, 266, 358, 309, 423, 465, 3002, 2"
here,0,None,0,"0, 355, 2"
pull you for a ride,1,pull,"1,0,0,0,0","0, 2020, 273, 397, 265, 1446, 2"
push yourself,1,push,"1,0","0, 1621, 1300, 2"
push with your feet,1,push,"1,0,0,0","0, 1621, 392, 345, 1035, 2"
that's right,1,s,"0,4,0","0, 363, 279, 434, 2"
you can give yourself a ride,1,can,"0,7,3,0,0,0","0, 266, 377, 683, 1300, 265, 1446, 2"
yes you're giving yourself a ride,1,re,"0,0,4,5,0,0,0","0, 506, 273, 375, 2564, 1300, 265, 1446, 2"
your tricycle is there,1,is,"0,0,1,0","0, 1009, 6128, 328, 386, 2"
you hafta pull your wagon back,1,hafta,"0,1,3,0,0,0","0, 266, 586, 1108, 345, 3753, 511, 2"
I think it's running into the television set isn't it,1,think,"0,1,0,4,5,0,0,0,0,1,0,0","0, 45, 399, 290, 279, 2342, 857, 272, 4113, 1595, 918, 309, 290, 2"
it's running into the television set isn't it,1,s,"0,4,5,0,0,0,0,1,0,0","0, 274, 279, 2342, 857, 272, 4113, 1595, 918, 309, 290, 2"
isn't it,1,isn't,"1,0,0","0, 1670, 309, 290, 2"
no,0,None,0,"0, 286, 2"
trailer,0,None,0,"0, 26769, 2"
Adam don't you think you may fall,1,don't,"0,1,0,0,3,0,7,3","0, 2637, 358, 309, 273, 399, 273, 1719, 1048, 2"
you may fall,1,may,"0,7,3","0, 266, 1719, 1048, 2"
what do you see,1,do,"0,1,0,3","0, 312, 299, 273, 384, 2"
a horse,0,None,"0,0","0, 69, 1344, 2"
in a magazine,0,None,"0,0,0","0, 268, 265, 5181, 2"
yes it is,1,is,"0,0,1","0, 506, 290, 328, 2"
what else do you see,1,do,"0,0,1,0,3","0, 312, 568, 299, 273, 384, 2"
you see another horse,1,see,"0,1,0,0","0, 266, 384, 754, 1344, 2"
some stamps,0,None,"0,0","0, 1218, 14225, 2"
you hafta put them on envelopes to mail them,1,hafta,"0,1,3,0,0,0,0,3,0","0, 266, 586, 416, 495, 307, 28072, 302, 2206, 495, 2"
you one envelope's on the floor by Urs foot,1,s,"0,0,0,4,0,0,0,0,0,0","0, 266, 383, 7400, 279, 307, 272, 1191, 900, 2937, 986, 2"
yes you may fall if you aren't careful,1,may,"0,0,7,3,0,0,1,0,0","0, 506, 273, 1719, 1048, 518, 273, 1372, 309, 1471, 2"
if you aren't careful,1,aren't,"0,0,1,0,0","0, 426, 273, 1372, 309, 1471, 2"
take the pillow out of the wagon,1,take,"1,0,0,0,0,0,0","0, 1363, 272, 2349, 428, 340, 272, 3753, 2"
well it doesn't belong up there,1,doesn't,"0,0,1,0,3,0,0","0, 492, 290, 644, 309, 2542, 403, 386, 2"
yes what,0,None,"0,0","0, 506, 339, 2"
what,0,None,0,"0, 312, 2"
yes are,0,None,"0,0","0, 506, 385, 2"
oh you hung that up,2,hung,"0,0,2,0,0","0, 332, 273, 5360, 296, 403, 2"
you better put those back up on the desk,1,put,"0,0,1,0,0,0,0,0,0","0, 266, 820, 416, 594, 511, 403, 307, 272, 3518, 2"
those are Daddy's glasses,1,are,"1,0,0,0,0","0, 1144, 385, 825, 279, 2318, 2"
no don't swing it,1,don't,"0,1,0,3,0","0, 286, 358, 309, 2210, 290, 2"
you may break it dear,1,may,"0,7,3,0,0","0, 266, 1719, 1043, 290, 2032, 2"
yes I see it swinging but don't swing it,1,see,"0,0,1,0,5,0,1,0,3,0","0, 506, 322, 384, 290, 5950, 493, 358, 309, 2210, 290, 2"
but don't swing it,1,don't,"0,1,0,3,0","0, 545, 358, 309, 2210, 290, 2"
bring them here and I'll show you how you use them,1,bring,"1,0,0,0,0,6,3,0,0,0,1,0","0, 2602, 495, 402, 329, 322, 436, 873, 273, 561, 273, 876, 495, 2"
I'll show you how you use them,3,ll,"0,6,3,0,0,0,1,0","0, 45, 436, 873, 273, 561, 273, 876, 495, 2"
how you use them,1,use,"0,0,1,0","0, 467, 273, 876, 495, 2"
that's right only the other way,1,s,"0,4,0,0,0,0,0","0, 363, 279, 434, 1089, 272, 617, 656, 2"
do you see anything,1,do,"1,0,3,0","0, 410, 273, 384, 941, 2"
do you see Urs,1,do,"1,0,3,0","0, 410, 273, 384, 2937, 2"
frighten me for,1,frighten,"1,0,0,0","0, 18329, 395, 376, 397, 2"
Adam,0,None,0,"0, 2637, 2"
yes he's touching you,1,s,"0,0,4,6,0","0, 506, 301, 279, 4236, 273, 2"
hm,0,None,0,"0, 429, 2"
alright,0,None,0,"0, 671, 2"
good morning,0,None,"0,0","0, 622, 1216, 2"
that's a new word,1,s,"0,4,0,0,0","0, 363, 279, 265, 982, 1504, 2"
we can't figure it out,1,can't,"0,7,0,3,0,0","0, 379, 377, 309, 2047, 290, 428, 2"
talk,1,talk,1,"0, 2969, 2"
why don't you talk,1,don't,"0,1,0,0,3","0, 601, 358, 309, 273, 720, 2"
alright,0,None,0,"0, 671, 2"
would you ask Cromer if he would like some coffee,1,would,"7,0,3,0,0,0,7,3,0,0","0, 954, 273, 1263, 4552, 518, 301, 559, 349, 430, 1411, 2"
if he would like some coffee,1,would,"0,0,7,3,0,0","0, 426, 301, 559, 349, 430, 1411, 2"
well you didn't ask him if he'd like some,2,didn't,"0,0,2,0,3,0,0,0,7,3,0","0, 492, 273, 611, 309, 1263, 502, 518, 301, 718, 349, 430, 2"
if he'd like some,2,d,"0,0,7,3,0","0, 426, 301, 718, 349, 430, 2"
okay no more sugar Adam,0,None,"0,0,0,0,0","0, 367, 361, 525, 1888, 1834, 2"
you don't need milk,1,don't,"0,1,0,3,0","0, 266, 358, 309, 664, 894, 2"
you take that in and then come back for the napkins,1,take,"0,1,0,0,0,0,1,0,0,0,0","0, 266, 577, 296, 318, 329, 541, 553, 511, 397, 272, 5486, 2"
and then come back for the napkins,1,then,"0,0,1,0,0,0,0","0, 347, 541, 553, 511, 397, 272, 5486, 2"
do you wanna take the napkins for me,1,do,"1,0,3,3,0,0,0,0","0, 410, 273, 423, 577, 272, 5486, 397, 376, 2"
no more sugar for you Adam,0,None,"0,0,0,0,0,0","0, 286, 525, 1888, 397, 273, 1834, 2"
I thought I heard something on the tape,2,thought,"0,2,0,2,0,0,0,0","0, 45, 1006, 322, 1897, 619, 307, 272, 1228, 2"
I heard something on the tape,2,heard,"0,2,0,0,0,0","0, 45, 1897, 619, 307, 272, 1228, 2"
sounded like b f and o,2,sounded,"2,0,0,0,0,0","0, 13448, 349, 277, 293, 329, 295, 2"
test,0,None,0,"0, 12346, 2"
I don't think I've heard that before,1,don't,"0,1,0,0,0,4,8,0,0","0, 45, 358, 309, 399, 322, 749, 1897, 296, 1000, 2"
I've heard that before,1,ve,"0,4,8,0,0","0, 45, 749, 1897, 296, 1000, 2"
the man on the radio,0,None,"0,0,0,0,0","0, 321, 686, 307, 272, 4070, 2"
you want some more espresso,1,want,"0,1,0,0,0","0, 266, 427, 430, 525, 16812, 2"
you have some in your cup,1,have,"0,1,0,0,0,0","0, 266, 381, 430, 318, 345, 853, 2"
some espresso,0,None,"0,0","0, 1218, 16812, 2"
no sugar,0,None,"0,0","0, 286, 1888, 2"
just take the spoon out if you want it,1,take,"0,1,0,0,0,0,0,1,0","0, 799, 577, 272, 898, 428, 518, 273, 427, 290, 2"
if you want it,1,want,"0,0,1,0","0, 426, 273, 427, 290, 2"
no you've already put sugar in your espresso,2,ve,"0,0,4,0,8,0,0,0,0","0, 286, 273, 749, 1396, 416, 1888, 318, 345, 16812, 2"
alright,0,None,0,"0, 671, 2"
put them on the chair,1,put,"1,0,0,0,0","0, 676, 495, 307, 272, 910, 2"
over here dear,0,None,"0,0,0","0, 2083, 402, 2032, 2"
you simply don't wanna put them in the chair,1,don't,"0,0,1,0,3,3,0,0,0,0","0, 266, 14079, 358, 309, 423, 416, 495, 318, 272, 910, 2"
alright,0,None,0,"0, 671, 2"
you're going around,1,re,"0,4,5,0","0, 266, 375, 497, 740, 2"
going around what,0,None,"5,0,0","0, 3493, 740, 339, 2"
what noise,0,None,"0,0","0, 312, 1390, 2"
the tape recorder,0,None,"0,0,0","0, 321, 1228, 1851, 2"
news,0,None,0,"0, 32720, 2"
no Adam you can't turn his head,1,can't,"0,0,0,7,0,3,0,0","0, 286, 1834, 273, 377, 309, 707, 505, 870, 2"
that's a nice big brother,1,s,"0,4,0,0,0,0","0, 363, 279, 265, 666, 535, 1680, 2"
baby's not talking to you,1,s,"0,4,0,6,0,0","0, 1339, 279, 419, 1403, 302, 273, 2"
waving,0,None,5,"0, 15230, 2"
you're waving,1,re,"0,4,6","0, 266, 375, 4615, 2"
come with you,1,come,"1,0,0","0, 528, 392, 273, 2"
I thought I'd sit out here so if Paul cries it won't make so much noise on the microphone,2,thought,"0,2,0,7,3,0,0,0,0,0,1,0,9,0,3,0,0,0,0,0,0","0, 45, 1006, 322, 718, 726, 428, 402, 437, 518, 2397, 7876, 290, 817, 309, 550, 437, 761, 1390, 307, 272, 2077, 2"
I'd sit out here so if Paul cries it won't make so much noise on the microphone,2,d,"0,7,3,0,0,0,0,0,1,0,9,0,3,0,0,0,0,0,0","0, 45, 718, 726, 428, 402, 437, 518, 2397, 7876, 290, 817, 309, 550, 437, 761, 1390, 307, 272, 2077, 2"
so if Paul cries it won't make so much noise on the microphone,1,cries,"0,0,0,1,0,9,0,3,0,0,0,0,0,0","0, 513, 518, 2397, 7876, 290, 817, 309, 550, 437, 761, 1390, 307, 272, 2077, 2"
it won't make so much noise on the microphone,3,won't,"0,9,0,3,0,0,0,0,0,0","0, 274, 817, 309, 550, 437, 761, 1390, 307, 272, 2077, 2"
no,0,None,0,"0, 286, 2"
okay,0,None,0,"0, 367, 2"
what happened,2,happened,"0,2","0, 312, 917, 2"
the sun,0,None,"0,0","0, 321, 1624, 2"
the sun isn't shining in that window,1,isn't,"0,0,1,0,5,0,0,0","0, 321, 1624, 918, 309, 7984, 318, 296, 1615, 2"
it's on the other side of the house,1,s,"0,4,0,0,0,0,0,0,0","0, 274, 279, 307, 272, 617, 1256, 340, 272, 713, 2"
oh no she doesn't want any of mine,1,doesn't,"0,0,0,1,0,3,0,0,0","0, 332, 361, 404, 644, 309, 427, 520, 340, 1871, 2"
I'll give her,3,ll,"0,6,3,0","0, 45, 436, 683, 470, 2"
well she said now,2,said,"0,0,2,0","0, 492, 404, 600, 508, 2"
but she did say no honey,2,did,"0,0,2,3,0,0","0, 545, 404, 407, 460, 361, 925, 2"
no she doesn't want any more,1,doesn't,"0,0,1,0,3,0,0","0, 286, 404, 644, 309, 427, 520, 525, 2"
what's broken,1,s,"0,4,0","0, 312, 279, 1960, 2"
I'm broken,1,m,"0,4,0","0, 45, 488, 1960, 2"
no,0,None,0,"0, 286, 2"
I'm not hurt,1,m,"0,4,0,0","0, 45, 488, 419, 1173, 2"
alright,0,None,0,"0, 671, 2"
oh no,0,None,"0,0","0, 332, 361, 2"
I've finished mine,1,ve,"0,4,8,0","0, 45, 749, 1535, 1871, 2"
it's very good,1,s,"0,4,0,0","0, 274, 279, 595, 455, 2"
is yours good,1,is,"1,0,0","0, 281, 1511, 455, 2"
oh no why don't you stay out here,1,don't,"0,0,0,1,0,0,3,0,0","0, 332, 361, 793, 358, 309, 273, 1013, 428, 402, 2"
why not,0,None,"0,0","0, 601, 419, 2"
I'm all finished,1,m,"0,4,0,8","0, 45, 488, 432, 1535, 2"
oh there's a little more,1,m,"0,0,4,0,0,0","0, 332, 386, 279, 265, 439, 525, 2"
oh no there's no more,1,m,"0,0,0,4,0,0","0, 332, 361, 386, 279, 361, 525, 2"
no no Adam,0,None,"0,0,0","0, 286, 361, 1834, 2"
let me see the toy,1,let,"1,0,3,0,0","0, 489, 376, 384, 272, 1208, 2"
can you make it go,1,can,"7,0,3,0,3","0, 473, 273, 550, 290, 316, 2"
I don't know,1,don't,"0,1,0,3","0, 45, 358, 309, 378, 2"
ask Urs what she calls it,1,ask,"1,0,0,0,1,0","0, 1454, 2937, 339, 404, 4209, 290, 2"
what she calls it,1,calls,"0,0,1,0","0, 312, 404, 4209, 290, 2"
don't put your fingers on it,1,don't,"1,0,3,0,0,0,0","0, 629, 309, 416, 345, 1746, 307, 290, 2"
you might hurt your fingers,1,might,"0,7,3,0,0","0, 266, 976, 1173, 345, 1746, 2"
no you do it with this,1,don't,"0,0,1,0,0,0","0, 286, 273, 299, 290, 392, 346, 2"
Paul Douglas,0,None,"0,0","0, 3869, 15340, 2"
what about him,0,None,"0,0,0","0, 312, 482, 502, 2"
he's a baby,1,s,"0,4,0,0","0, 262, 279, 265, 477, 2"
yes he is a little baby,1,is,"0,0,1,0,0,0","0, 506, 301, 328, 265, 439, 477, 2"
