Sentence,Tense,Verb,NER Tag
but she did say no honey,2,did,"0,0,2,3,0,0"
no she doesn't want any more,1,doesn't,"0,0,1,3,0,0"
what's broken,1,s,"4,0"
I'm broken,1,m,"4,0"
no,0,None,
I'm not hurt,1,m,"4,0,0"
alright,0,None,
oh no,0,None,
I've finished mine,1,ve,"4,8,0"
it's very good,1,s,"4,0,0"
is yours good,1,is,"1,0,0"
oh no why don't you stay out here,1,don't,"0,0,0,1,0,3,0,0"
why not,0,None,
I'm all finished,1,m,"4,0,8"
oh there's a little more,1,m,"0,4,0,0,0"
oh no there's no more,1,m,"0,0,4,0,0"
no no Adam,0,None,
let me see the toy,1,let,"1,0,3,0,0"
can you make it go,1,can,"7,0,3,0,3"
I don't know,1,don't,"0,1,3"
ask Urs what she calls it,1,ask,"1,0,0,0,1,0"
what she calls it,1,calls,"0,0,1,0"
don't put your fingers on it,1,don't,"1,3,0,0,0,0"
you might hurt your fingers,1,might,"0,7,3,0,0"
no you do it with this,1,don't,"0,0,1,0,0,0"
Paul Douglas,0,None,
what about him,0,None,
he's a baby,1,s,"4,0,0"
yes he is a little baby,1,is,"0,0,1,0,0,0"
Paul Douglas,0,None,
yes,0,None,
no good,0,None,
why not,0,None,
no Adam you just shoot,1,shoot,"0,0,0,0,1"
you don't hit anybody with it,1,don't,"0,1,3,0,0,0"
you're not big enough,1,re,"4,0,0,0"
you can't wear it tomorrow,1,can't,"0,7,3,0,0"
simply wear it,1,wear,"0,1,0"
what,0,None,
be cold,1,be,"3,0"
what is cold,1,is,"0,1,0"
coffee,0,None,
where are you going,1,are,"0,1,0,6"
well don't you like your coffee hot,1,don't,"0,1,0,3,0,0,0"
you don't drink cold coffee until summer time,1,don't,"0,1,3,0,0,0,0,0"
all up,0,None,
throw it away now,1,throw,"1,0,0,0"
no,0,None,
well why don't you put those three back,1,don't,"0,0,1,0,30,0"
put the coffee cups back,1,put,"1,0,0,0,0"
I'll hold them here,3,ll,"6,3,0,0"
wait don't you unscrew it first,1,don't,"1,1,0,3,0,0"
no not that one,0,None,
the green one,0,None,
no not that one,0,None,
the green one,0,None,
no no,0,None,
the other one,0,None,
mhm,0,None,
the green one,0,None,
that's pink,1,s,"4,0"
oh what is that,1,is,"0,0,1,0"
derrick,0,None,
I wouldn't put it on with blocks in it,1,wouldn't,"0,7,3,0,0,0,0,0,0"
don't want what,1,don't,"1,3,0"
you simply don't want what,1,don't,"0,0,1,3,0"
want beans in there,1,want,"1,0,0,0"
how did you know there are beans in there,2,did,"0,2,0,3,0,1,0,0,0"
no they don't come out,1,don't,"0,0,1,3,0"
you heard something,2,heard,"0,2,0"
I had plenty,2,had,"0,2,0"
what is that,1,is,"0,1,0"
sounded like Thursday tow truck like that,2,sounded,"2,0,0,0,0,0,0"
maybe somebody hadta stop suddenly,2,hadta,"0,0,2,3,0"
where did what go,2,did,"0,2,0,3"
espresso,0,None,
did you find it,2,did,"2,0,3,0"
no you had juice in your espresso,2,had,"0,0,2,0,0,0,0"
you're making trains,1,re,"4,5,0"
I'm not going any place,1,m,"4,0,5,0,0"
oh you're going to do that puzzle,3,re going to,"0,4,5,0,0"
nobody wants to touch it,1,wants,"0,1,0,3,0"
did you say excuse me please,2,did,"2,0,3,1,0,0"
what's the cow's name,1,s,"4,0,0,0"
oh the cow's name is Adam,1,is,"0,0,0,0,1,0"
you,0,None,
you're not funny,1,re,"4,0,0"
those are carrots,1,are,"0,1,0"
it goes there,1,goes,"0,1,0"
that's what,1,s,"4,0"
it's on the floor,1,s,"4,0,0,0"
okay,0,None,
Adam look up on the ceiling,1,look,"0,1,0,0,0,0"
I see something up on the ceiling,1,see,"0,1,0,0,0,0,0"
what do you see,1,do,"0,1,0,3"
yes,0,None,
you what,0,None,
you like tree,1,like,"0,1,0"
it sounded like busy,2,sounded,"0,2,0,0"
why are you doing that,1,are,"0,1,0,5,0"
alright,0,None,
it'll be ready soon,3,ll ,"6,3,0,0"
what,0,None,
no no it's hot,1,s,"0,0,4,0"
oh yes,0,None,
what am I doing,1,am,"0,1,0,5"
I'm folding diapers,1,m,"4,5,0"
yes for Adam,0,None,
a diaper,0,None,
I hear you,1,hear,"0,1,0"
what do you do for hiccups Adam,1,do,"0,1,0,3,0,0,0"
what you doing Adam,0,None,"0,0,5,0"
what's that,1,s,"4,0"
who's over in the meadow,1,s,"4,0,0,0,0"
yes,0,None,
what is it,1,is,"0,1,0"
what are these,1,are,"0,1,0"
would you like some cookies,1,would,"7,0,3,0,0"
yahoo,0,None,
what was that word honey,2,was,"0,2,0,0,0"
was that like her,2,was,"2,0,0,0"
just move Bobo out_of your way,1,move,"0,1,0,0,0,0,0"
fish swim in the water with you,1,swim,"0,1,0,0,0,0,0"
where are some fish,1,are,"0,1,0,0"
where,0,None,
down there,0,None,
what kind of fish,0,None,
red fish,0,None,
what other kind of fish,0,None,
you're swimming,1,re,"4,5"
you're not swimming now,1,re,"4,0,5,0"
alright,0,None,
that's enough,1,s,"4,0"
no I'll get you a spoon,3,ll,"0,6,3,0,0,0"
just leave that there,1,leave,"0,1,0,0"
come on,1,come,"1,0"
you what,0,None,
oh you're going to drop them out,3,re going to,"0,4,5,0,3,0,0"
don't hurry,1,don't,"1,3"
why not,0,None,
what,0,None,
isn't it Chippewa,1,isn't,"1,0,0"
I never heard of a thing,2,heard,"0,0,2,0,0,0"
over in the fish house,0,None,
what did you have in the fish house,2,did,"0,2,0,3,0,0,0,0"
little fish house,0,None,
no Adam you take one,1,take,"0,0,0,1,0"
alright,0,None,
take two,1,take,"1,0"
yes you have some yourself,1,have,"0,0,1,0,0"
eat what,1,eat,"1,0"
what,0,None,
poor,0,None,
poor what,0,None,
oh poor little fellow,0,None,
what do you want some more of,1,do,"0,1,0,3,0,0,0"
do you want some more cookies,1,do,"1,0,3,0,0,0"
Adam what did I tell you about that,2,did,"0,0,2,0,3,0,0,0"
if you wanna step on somebody's foot then get Bobo and step on him,1,wanna,"0,0,1,3,0,0,0,0,1,0,0,1,0,0"
then get Bobo and step on him,1,get,"0,1,0,0,1,0,0"
step on him,1,step,"1,0,0"
you're too big,1,re,"4,0,0"
well then you're too big to step on anybody,1,re,"0,0,4,0,0,0,3,0,0"
do you do you see the doggie back there,1,look,"1,0,1,0,3,0,0,0,0"
did he bite you,2,did,"2,0,3,0"
look on the back of Bozo,1,s,"1,0,0,0,0,0"
oh he's looking happy,1,s,"0,4,5,0"
Adam Smith,0,None,
how many cookies do you have over there,1,do,"0,0,0,1,0,3,0,0"
fourteen,0,None,
because you'll break it,3,ll,"0,6,3,0"
no,0,None,
where's your cup,1,s,"4,0,0"
Adam what are you doing,1,are,"0,0,1,0,5"
Adam what are you doing,1,are,"0,0,1,0,5"
I think he said here we go,1,think,"0,1,0,2,0,0,1"
he said here we go,2,said,"0,2,0,0,1"
here we go,1,go,"0,0,1"
he's sleeping,1,s,"4,5"
I been chug,0,None,"0,8,0"
I've been chugging I guess,1,ve,"4,8,5,0,1"
you're turned over,1,re,"4,8,0"
you're not tired now ,1,re,"4,0,0,0"
you're just crying,1,re,"4,0,5"
you have some,1,have,"0,1,0"
would you ask him,1,would,"7,0,1,0"
would you ask him if he'd like some more,1,would,"7,0,1,0,0,4,3,0,0"
if he'd like some more,1,d,"0,3,4,0,0"
like some ones,0,None,
he doesn't want a cookie ,1,doesn't,"0,1,3,0,0"
after you've had your dirty fingers all over it,1,ve,"0,4,8,0,0,0,0,0,0"
take it out_of your mouth and just pretend,1,take,"1,0,0,0,0,0,0,0,1"
just pretend,1,pretend,"0,1"
when you pretend you don't put it in,1,pretend,"0,0,1,0,1,3,0,0"
you don't put it in,1,don't,"0,1,3,0,0"
how many doughnuts do you have,1,do,"0,0,0,1,0,3"
nobody simply asked you to put doughnuts the library,2,asked,"0,0,2,0,0,3,0,0,0"
how many cats,0,None,
three cats,0,None,
well don't do it on that,1,don't,"0,1,3,0,0,0"
you write on paper Adam,1,write,"0,1,0,0,0"
you can't since write on paper,1,can't,"0,7,0,3,0,0"
funny like what,0,None,
before what,0,None,
before me,0,None,
you woke up at fourteen o'clock,2,woke,"0,2,0,0,0,0"
I'd like to know what time fourteen o'clock is,1,d,"4,3,0,3,0,0,0,0,1"
what time fourteen o'clock is,1,is,"0,0,0,0,1"
my clock only goes to twelve,1,goes,"0,0,0,1,0,0"
now what kind of clock do you have that goes to nineteen,1,do,"0,0,0,0,0,1,0,3,0,1,0,0"
that goes to nineteen,1,goes,"0,1,0,0"
oh it goes to fourteen,1,goes,"0,0,1,0,0"
I don't think he knows that,1,don't,"0,1,3,0,1,0"
he knows that,1,knows,"0,1,0"
oh well I look at the watch,1,look,"0,0,0,1,0,0,0"
Adam how do you know,1,do,"0,0,1,0,3"
you're not spaghetti,1,re,"4,0,0"
what are you,1,are,"0,1,0"
spaghetti on your leg,0,None,
don't let it fall,1,don't,"1,3,0,3"
because you'll spill it,3,ll,"0,6,3,0"
here me comes,1,comes,"0,0,1"
what happened to I,2,happened,"0,2,0,0"
what noise,0,None,
no more,0,None,
I think you've had enough,1,think,"0,1,4,8,0"
you've had enough,1,ve,"4,8,0"
no I've had enough and I think you've had enough too,1,ve,"0,4,8,0,0,0,1,4,8,0,0"
and I think you've had enough too,1,think,"0,0,1,4,8,0,0"
you've had enough too,1,ve,"4,8,0,0"
oh no I've finished mine,2,ve,"0,0,4,8,0"
you may have some water,1,may,"0,7,1,0,0"
you don't want some water,1,don't,"0,1,3,0,0"
you don't wanna like water,1,don't,"0,1,3,3,0"
oh you want another water,1,want,"0,0,1,0,0"
it's good for you,1,s,"4,0,0,0"
you're burned no more,1,re,"4,8,0,0"
son,0,None,
grandson,0,None,
what about grandson,0,None,
whose grandson are you,1,are,"0,0,1,0"
you're not grandson you're Adam,1,re,"4,0,0,4,0"
well you must be somebody's grandson,1,must,"0,0,7,3,0,0"
whose grandson are you,1,are,"0,0,1,0"
thank you,1,thank,"1,0"
Adam don't throw those,1,don't,"0,1,3,0"
remember,1,remember,"1,"
yes,0,None,
you don't wanna remember,1,don't,"0,1,3,3"
baseball,0,None,
baseball,0,None,
you stepped on your cowboy hat,2,stepped,"0,2,0,0,0"
be careful,1,be,"3,0"
here it is,1,is,"0,0,1"
what happened,2,happened,"0,2"
what happened,2,happened,"0,2"
you hit who,2,hit,"0,2,0"
ask Cromer if he wants some coffee,1,ask,"1,0,0,0,1,0,0"
if he wants some coffee,1,wants,"0,0,1,0,0"
some what,0,None,
did you ask Cromer if he wants some,2,did,"2,0,1,0,0,0,1,0"
if he wants some,1,wants,"0,0,1,0"
did you ask him if he'd like some coffee,2,did,"2,0,3,0,0,4,3,0,0"
if he'd like some coffee,2,d,"0,4,3,0,0"
okay thank you,1,thank,"0,1,0"
look,1,look,1
how do you know that's coffee,1,do,"0,1,0,3,4,0"
that's coffee,1,s,"4,0"
what are you writing,1,are,"0,1,0,5"
Captain_Kangaroo,0,None,
what does Captain_Kangaroo write,1,does,"0,1,0,0,3"
oh he writes with a pencil,1,writes,"0,0,1,0,0,0"
what,0,None,
that's green,1,s,"4,0"
you need some,1,need,"0,1,0"
why don't you sit down there on the floor and write okay,1,don't,"0,1,0,3,0,0,0,0,0,0,1,0"
you're Adam,1,re,"4,0"
I won't step on your candy,3,won't,"0,9,3,0,0,0"
wait Adam,1,wait,"1,0"
now you've spilled a whole cup of sugar almost,1,ve,"0,4,8,0,0,0,0,0,0"
would you like one cookie Adam,1,would,"7,0,3,0,0,0"
two,0,None,
okay,0,None,
do you see the post man,1,do,"1,0,3,0,0,0"
what,0,None,
horn coming up,0,None,"0,5,0"
now what's the doggie doing,1,s,"0,4,0,0,5"
he's eating what all up,1,s,"4,5,0,0,0"
you're having spaghetti,1,re,"4,5,0"
what is it,1,is,"0,1,0"
can you look in it,1,can,"7,0,1,0,0"
see you,1,see,"1,0"
no you don't,1,don't,"0,0,1"
go and ask Urs what you watch through a telescope,1,go,"1,0,1,0,0,0,1,0,0,0"
ask Urs what you watch through a telescope,1,ask,"1,0,0,0,1,0,0,0"
what you watch through a telescope,1,watch,"0,0,1,0,0,0"
no close it and turn it over,1,close,"0,1,0,0,1,0,0"
what were the magic words that Urs said,2,were,"0,2,0,0,0,0,0,2"
the magic words that Urs said,2,said,"0,0,0,0,0,2"
with a beard,0,None,
turn it over,1,turn,"1,0,0"
and say the magic words,1,say,"0,1,0,0,0"
what are the magic words,1,are,"0,1,0,0,0"
you didn't say the right magic words,2,didn't,"0,2,3,0,0,0,0"
close it and try again,1,close,"1,0,0,1,0"
try again,1,try,"1,0"
turn it over,1,turn,"1,0,0"
now rub it,1,rub,"0,1,0"
what are you doing,1,are,"0,1,0,5"
what,0,None,
put the cookies back on the table so Urs and Cromer can have some,1,put,"0,0,0,0,0,0,0,0,0,0,0,7,3,0"
so Urs and Cromer can have some,1,can,"0,0,0,0,7,3,0"
Adam where are you going with the cookies,3,are you going,"0,0,1,0,5,0,0,0"
mhm,0,None,
under the chair with your telephone,0,None,
careful Adam did you hit Urs,2,did,"0,0,2,0,3,0"
no you didn't hit me,2,didn't,"0,0,2,3,0"
she's funny,1,s,"4,0"
tractor,0,None,
your bunkhouse,0,None,
no it's over there,1,s,"0,4,0,0"
where's what,1,s,"4,0"
your washing machine,0,None,"0,0,0"
is that what you said,1,is,"1,0,0,0,2"
what you said,2,said,"0,0,2"
I think it's behind the door,1,s,"0,1,4,0,0,0"
behind the door,0,None,
in the box of toys behind you,0,None,
is it in there,1,is,"1,0,0,0"
I thought you said it was in there,2,thought,"0,2,0,2,0,2,0,0"
you said it was in there,2,said,"0,2,0,2,0,0"
it was in there,2,was,"0,2,0,0"
you're looking for it,1,re,"4,5,0,0"
there it is,1,is,"0,0,1"
right in my lap,0,None,
that wasn't a dime,2,wasn't,"0,2,0,0"
that was a penny,2,wasn't,"0,2,0,0"
it's on the floor,1,s,"4,0,0,0"
didn't you see the penny,2,didn't,"2,0,3,0,0"
turn it over and say the magic words,1,turn,"1,0,0,0,1,0,0,0"
say the magic words,1,say,"1,0,0,0"
is that right,1,is,"1,0,0"
did you turn it over,2,did,"2,0,3,0,0"
I don't know,1,don't,"0,1,3"
you hafta ask Urs,1,hafta,"0,1,3,0"
you have some more,1,have,"0,1,0,0"
you spilled it didn't you,2,spilled,"0,2,0,2,0"
didn't you,2,didn't,"2,0"
yes,0,None,
over towards the door,0,None,
the other door,0,None,
careful Adam,0,None,
thank you who,1,thank,"1,0,0"
magic words,0,None,
where's the magic box,1,s,"4,0,0,0"
what does the big bad giant say,1,does,"0,1,0,0,0,0,0"
magic hand,0,None,
do you remember that story,1,do,"1,0,3,0,0"
puppy,0,None,
did you ask Cromer if he wants another cookie,2,did,"2,0,3,0,0,0,1,0,0"
if he wants another cookie,1,wants,"0,0,1,0,0"
I thought you were going to ask her if she wanted something else,2,thought,"0,2,0,2,5,0,3,0,0,0,2,0,0"
you were going to ask her if she wanted something else,2,were,"0,2,5,0,1,0,0,0,2,0,0"
if she wanted something else,2,wanted,"0,0,2,0,0"
one what,0,None,
one piece of dirt,0,None,
what is that,1,is,"0,1,0"
hm,0,None,
no no Adam,0,None,
what is it,1,is,"0,1,0"
Chocks are vitamins,1,are,"0,1,0"
she didn't say Chocks,2,didn't,"0,2,0,0"
she said chalk,2,said,"0,2,0"
I don't know,1,don't,"0,1,3"
did you show Urs the puppet,2,did,"2,0,3,0,0,0"
she wouldn't frighten you,1,wouldn't,"0,7,3,0"
hello,0,None,
you're tired,1,re,"4,0"
are you tired,1,are,"1,0,0"
what is it,1,is,"0,1,0"
you open it,1,open,"0,1,0"
blow,1,blow,1
funny baseball I think he said,1,think,"0,0,0,1,0,2"
he said,2,said,"0,2"
that's the other part of Urs game isn't it,1,s,"4,0,0,0,0,0,0,1,0"
you hafta wash it,1,hafta,"0,1,3,0"
how did it get dirty,2,did,"0,2,0,3,0"
what are you looking for in there,1,are,"0,1,0,5,0,0,0"
did you ask Urs,2,did,"2,0,3,0"
what is he making,1,is,"0,1,0,5"
airplane,0,None,
what is it Adam,1,is,"0,1,0,0"
it can't be fixed,1,can't,"0,7,3,8"
hm,0,None,
okay you go back out there and I'll let you have it,1,go,"0,0,1,0,0,0,0,6,3,0,3,0"
and I'll let you have it,3,ll,"0,6,3,0,3,0"
I'm trying to put it together but I don't know how,1,m,"4,6,0,3,0,0,0,0,1,3,0"
but I don't know how,1,don't,"0,0,1,3,0"
hm,0,None,
I know but it's not all together,1,know,"0,1,0,4,0,0,0"
it's not all together,1,s,"4,0,0,0"
you put it back together,1,put,"0,1,0,0,0"
mhm,0,None,
when you take those it comes apart,1,take,"0,0,1,0,0,1,0"
it comes apart,1,comes,"0,1,0"
you cracked it,2,cracked,"0,2,0"
down the meat,0,None,
it turns like an airplane,1,turns,"0,1,0,0,0"
hm,0,None,
what's going around,1,s,"4,5,0"
propellers,0,None,
hm,0,None,
propellers are on airplanes aren't they,1,are,"0,1,0,0,1,0"
on an airplane someplace,0,None,
when you see an airplane you see propellers,1,see,"0,0,1,0,0,0,1,0"
you see propellers,1,see,"0,1,0"
I don't know,1,don't,"0,1,3"
I don't know,1,don't,"0,1,3"
it doesn't look like it does,1,doesn't,"0,1,3,0,0,1"
you can ride it,1,can,"0,7,3,0"
who's a strawberry,1,s,"4,0,0"
am I a strawberry,1,am,"1,0,0,0"
where is the ball,1,is,"0,1,0,0"
oh yes,0,None,
there it is Adam,1,is,"0,1,0,0"
behind the kitchen door,0,None,
did you have the ball in there,2,did,"2,0,3,0,0,0,0"
where's the ball,1,s,"4,0,0"
what happened Adam,2,happened,"0,2,0"
don't what,1,don't,"1,0"
why should I burn you,1,should,"0,7,0,3,0"
your what,0,None,
wait Adam,1,wait,"1,0"
what,0,None,
did you say dance,2,did,"2,0,3,0"
wait you come around here honey,1,wait,"1,0,1,0,0,0"
you come around here honey,1,come,"0,1,0,0,0"
this is yours,1,is,"0,1,0"
no let him take his own,1,let,"0,1,0,3,0,0"
you don't know how much he wants,1,don't,"0,1,3,0,0,0,1"
how much he wants,1,wants,"0,0,0,1"
okay,0,None,
do you want  ask Urs if she wants some,1,want,"1,0,3,3,0,0,0,3,0"
ask Urs if she wants some,1,ask,"1,0,0,0,1,0"
if she wants some,1,wants,"0,0,1,0"
no she said one,2,said,"0,0,2,0"
Adam how many cookies do you want,1,do,"0,0,0,0,1,0,3"
just one,0,None,
yes,0,None,
Adam did you say you're Urs,2,did,"0,2,0,3,4,0"
you're Urs,1,re,"4,0"
well then Urs must be Adam,1,must,"0,0,0,7,3,0"
you'll probably be a cowboy,3,ll,"6,0,3,0,0"
where are you going with that cookie,1,are,"0,1,0,5,0,0,0"
what did you say Adam,2,did,"0,2,0,3,0"
please don't call you,1,don't,"0,1,3,0"
why not,0,None,
because Bobo's crying,1,s,"0,4,5"
why is Bobo crying,1,is,"0,1,0,5"
oh he's crying at fourteen o'clock,1,s,"0,4,5,0,0,0"
why,0,None,
you were upstairs,2,were,"0,2,0"
and he was crying because you were upstairs,2,was,"0,0,2,5,0,0,2,0"
because you were upstairs,2,were,"0,0,2,0"
he wants you downstairs,1,wants,"0,1,0,0"
he didn't want you to take a nap,2,didn't,"0,2,3,0,0,3,0,0"
you're dripping,1,re,"4,5"
you're sposta drink it honey,1,re,"4,8,3,0,0"
you don't eat it with a spoon,1,don't,"0,1,3,0,0,0,0"
that's right,1,s,"4,0"
it's good,1,s,"4,0"
why do you say ssh,1,do ,"0,1,0,3,0"
cowboy's sleeping,1,s,"4,5"
where's the cowboy,1,don't,"4,0,0"
you don't know but you know he's sleeping,1,don't,"0,1,3,0,0,1,4,5"
but you know he's sleeping,1,know,"0,0,0,4,5"
he's sleeping,1,s,"4,5"
mhm,0,None,
look on your shirt,1,look,"1,0,0,0"
cranberry juice on your shirt,0,None,
that's why you should drink it,1,s,"4,0,0,7,3,0"
why you should drink it,1,should,"0,0,7,3,0"
no you don't need water on that dear,1,don't,"0,0,1,3,0,0,0,0"
you wanna smoke Camels,1,wanna,"0,1,3,0"
why do you wanna smoke Camels,1,don't,"0,1,0,3,3,0"
I didn't say when I said why,2,didn't,"0,2,3,0,0,2,0"
when I said why,2,said,"0,0,2,0"
yes what,0,None,
yes Urs Paul,0,None,
you're playing a new game,1,re,"4,5,0,0,0"
what is it,1,is,"0,1,0"
I don't know,1,don't,"0,1,3"
you found it,2,found,"0,2,0"
where did you find it,2,did,"0,2,0,1,0"
oh magic words and it disappeared,2,disappeared,"0,0,0,0,0,2"
what happens now,1,happens,"0,1,0"
oh did you say the right magic words,2,did,"0,2,0,3,0,0,0,0"
is that right,1,is,"1,0,0"
did you turn it over,2,did,"2,0,3,0,0"
now say the magic words,1,say,"0,1,0,0,0"
then what happens,1,happens,"0,0,2"
say the magic words,1,say,"1,0,0,0"
you ask Ursula,1,ask,"0,1,0"
cowboy shale or cowboy Bill,0,None,
cowboy Bill,0,None,
don't put them in anyone's face,1,don't,"1,3,0,0,0,0"
can you tell Urs what that is,1,can,"7,0,3,0,0,0,1"
what that is,1,is,"0,0,1"
no what's that in your hand,1,s,"0,4,0,0,0,0"
what is that,1,is,"0,1,0"
top to what,0,None,
yes a baby carriage,0,None,
are you finished,1,are,"1,0,8"
do you want some more coffee,1,do,"1,0,3,0,0,0"
oh are you eating a cookie,1,are,"0,1,0,5,0,0"
you like what,1,like,"0,1,0"
dancing,0,None,5
your spoon,0,None,
you left it out on the table,2,left,"0,2,0,0,0,0,0"
don't burn you,1,don't,"1,3,0"
fire truck,0,None,
fire on what,0,None,
on gun,0,None,
is that where the fire truck has gone,1,is,"1,0,0,0,0,0,1,8"
where the fire truck has gone,1,has,"0,0,0,0,1,8"
can you put the fire out on guns,1,can,"7,0,3,0,0,0,0,0"
they wouldn't need a big fire truck for that,1,wouldn't,"0,7,3,0,0,0,0,0,0"
oh no he can't blow it,1,can't,"0,0,0,7,3,0"
you blow it,1,blow,"0,1,0"
you can blow,1,can,"0,7,1"
that's right,1,s,"4,0"
that's right,1,s,"4,0"
that's right,1,s,"4,0"
what's in it when you blow,1,s,"4,0,0,0,0,1"
when you blow,1,blow,"0,0,1"
some sugar,0,None,
you blow it,1,blow,"0,1,0"
come here and I'll show you how to do it,1,come,"1,0,0,6,3,0,0,0,3,0"
and I'll show you how to do it,3,ll,"0,6,3,0,0,0,3,0"
let me hold it and help you,1,let,"1,0,3,0,0,1,0"
help you,1,help,"1,0"
hold it at the top,1,hold,"1,0,0,0,0"
what are the colors,1,are,"0,1,0,0"
red yes,0,None,
what color is that,1,is,"0,0,1,0"
hm,0,None,
painting,0,None,5
what color is that,1,is,"0,0,1,0"
what color is that,1,is,"0,0,1,0"
what color is that,1,is,"0,0,1,0"
what color is that,1,is,"0,0,1,0"
red,0,None,
no,0,None,
hold it now,1,hold,"1,0,0"
you managed,2,managed,"0,2"
hopping to Missouri,0,None,"5,0,0"
that's a song,1,s,"4,0,0"
hopping to Missouri in the bag,0,None,"5,0,0,0,0,0"
Shadow_Gay is the horse that won the Kentucky Derby,1,is,"0,0,1,0,0,0,2,0,0,0"
that won the Kentucky Derby,2,won,"0,2,0,0,0"
how does he hop,1,does,"0,1,0,3"
what,0,None,
airplane walk,0,None,
two of them,0,None,
you go talk to Urs,1,go,"0,1,3,0,0"
ask her why you put string on it,1,ask,"1,0,0,0,1,0,0,0"
why you put string on it,1,put,"0,0,1,0,0,0"
cowboy's going to shoot with you,3,s going to,"4,5,0,3,0,0"
what cowboy,0,None,
he didn't say anything,2,didn't,"0,2,3,0"
soxy soccer,0,None,
on my face,0,None,
he saw some clowns at the circus throw pies,2,saw,"0,2,0,0,0,0,0,1,0"
some clowns at the circus throw pies,1,throw,"0,0,0,0,0,1,0"
you're going to get out your game,3,re going to,"4,5,0,3,0,0,0"
what game,0,None,
soxer,0,None,
what's a soxer,0,None,
saucer,0,None,
no I say boxer,1,say,"0,0,1,0"
what did you say,2,did,"0,2,0,3"
come little fellow,1,come,"1,0,0"
you're going to wait for something,3,re going to,"4,5,0,3,0,0"
what did you say,2,did,"0,2,0,3"
good word,0,None,
he doesn't want pie,1,doesn't,"0,1,3,0"
you go back in the living room,1,go,"0,1,0,0,0,0,0"
come on,1,come,"1,0"
let's go,1,let's,"1,3"
oh what are you now,1,are,"0,0,1,0,0"
whoops,0,None,
baseball,0,None,
the song was daisy daisy,2,was,"0,0,2,0,0"
did you break one of the wheels,2,did,"2,0,3,0,0,0,0"
why did you do that,2,did,"0,2,0,3,0"
because Shadow_Gay did what,2,did,"0,0,0,2,0"
hugged you,2,hugged,"2,0"
you've already put sugar in yours so here's your right here,1,ve,"4,0,8,0,0,0,0,4,0,0,0"
so here's your right here,1,s,"0,4,0,0,0"
no that's enough then,1,s,"0,4,0,0"
thank you,1,thank,"1,0"
well she'll get her own,3,ll,"0,6,3,0,0"
did you think she needs a helper,2,did,"2,0,3,0,1,0,0"
she needs a helper,1,needs,"0,1,0,0"
Adam,0,None,
what,0,None,
what man,0,None,
oh,0,None,
very best,0,None,
alright,0,None,
give me your cup,1,give,"1,0,0,0"
careful,0,None,
don't drop it please,1,don't,"1,3,0,0"
Jenny cup,0,None,
what's a Jenny cup,1,s,"4,0,0,0"
what,0,None,
what,0,None,
presto,0,None,
are you going to be little,3,are you going,"1,0,5,0,3,0"
when,0,None,
why am I mixing the baby's chocolate,1,am,"0,1,0,5,0,0,0"
so the baby can drink it,1,can,"0,0,0,7,3,0"
oh you're Adam,1,re,"0,4,0"
no no,0,None,
okay just a minute you hold that,1,hold,"0,0,0,0,0,1,0"
here it is,1,is,"0,0,1"
see what happens when you put it in,1,happens,"1,0,1,0,0,1,0,0"
when you put it in,1,put,"0,0,1,0,0"
if you wanna drink it,1,wanna,"0,0,1,3,0"
you're going to swallow it,3,re going to,"4,5,0,3,0"
careful Adam,0,None,
you were playing with it and you spilled it,2,were,"0,2,5,0,0,0,0,2,0"
you spilled it,2,spilled,"0,2,0"
yes you did,2,did,"0,0,2"
you spilled it again,2,spilled,"0,2,0,0"
where,0,None,
it's hot,1,s,"4,0"
no,0,None,
because it will burn you,3,will,"0,0,9,3,0"
you like it,1,like,"0,1,0"
you broke another wheel,2,broke,"0,2,0,0"
you're going to hafta buy another one and give it to Urs because you're breaking that one,3,re going to ,"4,5,0,3,3,0,0,0,3,0,0,0,0,4,5,0,0"
because it doesn't go if you break it,1,doesn't,"0,0,1,3,0,0,1,0"
if you break it,1,break,"0,0,1,0"
no if you take those off the wheels will come off,1,take,"0,0,0,1,0,0,0,0,9,3,0"
the wheels will come off,3,will,"0,0,9,3,0"
no then it doesn't go if the wheels are off,1,doesn't,"0,0,0,1,3,0,0,0,1,0"
if the wheels are off,1,are,"0,0,0,1,0"
are those airplanes just like,1,are,"1,0,0,0,0"
they are,1,are,"0,1"
I don't see any propellers on that one,1,don't,"0,1,3,0,0,0,0,0"
are there any propellers,1,are,"1,0,0,0"
where,0,None,
I don't see any,1,don't,"0,1,3,0"
I guess I'm not looking in the right place,1,guess,"0,1,4,0,5,0,0,0,0"
I'm not looking in the right place,1,m,"1,0,0,0,0,1,0,0"
careful Adam,0,None,
put your hand down and get it out,1,put,"0,1,0,0"
and get it out,1,get,"0,1,0,0"
what she,0,None,
oh Urs,0,None,
well put your cup on the table there,1,put,"0,1,0,0,0,0,0,0"
well pretend that that's coffee okay,1,pretend,"0,1,0,4,0,0"
that's coffee okay,1,s,"4,0,0"
okay,0,None,
what happened,2,happened,"0,2"
your spoon got stuck,2,got,"0,0,2,8"
down your throat,0,None,
why don't you take the things out_of your bag and you be Urs,1,don't,"0,1,0,3,0,0,0,0,0,0,0,0,3,0"
you don't have anything in your bag do you,1,don't,"0,1,3,0,0,0,0,1,0"
what name is it Adam,1,is,"0,0,1,0,0"
you're going to save it,3,re going to,"4,5,0,3,0"
until your birthday time,0,None,
alright,0,None,
