,Sentence,Tense,Verb,NER Tag
6367,I'd like to know what time fourteen o'clock is,1,d,"4,3,0,3,0,0,0,0,1"
6368,what time fourteen o'clock is,1,is,"0,0,0,0,1"
6369,my clock only goes to twelve,1,goes,"0,0,0,1,0,0"
6370,now what kind of clock do you have that goes to nineteen,1,do,"0,0,0,0,0,1,0,3,0,1,0,0"
6371,that goes to nineteen,1,goes,"0,1,0,0"
6372,oh it goes to fourteen,1,goes,"0,0,1,0,0"
6373,I don't think he knows that,1,don't,"0,1,3,0,1,0"
6374,he knows that,1,knows,"0,1,0"
6375,oh well I look at the watch,1,look,"0,0,0,1,0,0,0"
6376,Adam how do you know,1,do,"0,0,1,0,3"
6377,you're not spaghetti,1,re,"4,0,0"
6378,what are you,1,are,"0,1,0"
6379,spaghetti on your leg,0,None,"0,0,0,0"
6380,don't let it fall,1,don't,"1,3,0,3"
6381,because you'll spill it,3,ll,"0,6,3,0"
6382,here me comes,1,comes,"0,0,1"
6383,what happened to I,2,happened,"0,2,0,0"
6384,what noise,0,None,"0,0"
6385,no more,0,None,"0,0"
6386,I think you've had enough,1,think,"0,1,4,8,0"
6387,you've had enough,1,ve,"4,8,0"
6388,no I've had enough and I think you've had enough too,1,ve,"0,4,8,0,0,0,1,4,8,0,0"
6389,and I think you've had enough too,1,think,"0,0,1,4,8,0,0"
6390,you've had enough too,1,ve,"4,8,0,0"
6391,oh no I've finished mine,2,ve,"0,0,4,8,0"
6392,you may have some water,1,may,"0,7,1,0,0"
6393,you don't want some water,1,don't,"0,1,3,0,0"
6394,you don't wanna like water,1,don't,"0,1,3,3,0"
6395,oh you want another water,1,want,"0,0,1,0,0"
6396,it's good for you,1,s,"4,0,0,0"
6397,you're burned no more,1,re,"4,8,0,0"
6398,son,0,None,0
6399,grandson,0,None,0
6400,what about grandson,0,None,"0,0,0"
6401,whose grandson are you,1,are,"0,0,1,0"
6402,you're not grandson you're Adam,1,re,"4,0,0,4,0"
6403,well you must be somebody's grandson,1,must,"0,0,7,3,0,0"
6404,whose grandson are you,1,are,"0,0,1,0"
6405,thank you,1,thank,"1,0"
6406,Adam don't throw those,1,don't,"0,1,3,0"
6407,remember,1,remember,1
6408,yes,0,None,0
6409,you don't wanna remember,1,don't,"0,1,3,3"
6410,baseball,0,None,0
6411,baseball,0,None,0
6412,you stepped on your cowboy hat,2,stepped,"0,2,0,0,0"
6413,be careful,1,be,"3,0"
6414,here it is,1,is,"0,0,1"
6415,what happened,2,happened,"0,2"
6416,what happened,2,happened,"0,2"
6417,you hit who,2,hit,"0,2,0"
6418,ask Cromer if he wants some coffee,1,ask,"1,0,0,0,1,0,0"
6419,if he wants some coffee,1,wants,"0,0,1,0,0"
6420,some what,0,None,"0,0"
6421,did you ask Cromer if he wants some,2,did,"2,0,1,0,0,0,1,0"
6422,if he wants some,1,wants,"0,0,1,0"
6423,did you ask him if he'd like some coffee,2,did,"2,0,3,0,0,4,3,0,0"
6424,if he'd like some coffee,2,d,"0,4,3,0,0"
6425,okay thank you,1,thank,"0,1,0"
6426,look,1,look,1
6427,how do you know that's coffee,1,do,"0,1,0,3,4,0"
6428,that's coffee,1,s,"4,0"
6429,what are you writing,1,are,"0,1,0,5"
6430,Captain Kangaroo,0,None,0
6431,what does Captain Kangaroo write,1,does,"0,1,0,0,3"
6432,oh he writes with a pencil,1,writes,"0,0,1,0,0,0"
6433,what,0,None,0
6434,that's green,1,s,"4,0"
6435,you need some,1,need,"0,1,0"
6436,why don't you sit down there on the floor and write okay,1,don't,"0,1,0,3,0,0,0,0,0,0,1,0"
6437,you're Adam,1,re,"4,0"
6438,I won't step on your candy,3,won't,"0,9,3,0,0,0"
6439,wait Adam,1,wait,"1,0"
6440,now you've spilled a whole cup of sugar almost,1,ve,"0,4,8,0,0,0,0,0,0"
6441,would you like one cookie Adam,1,would,"7,0,3,0,0,0"
6442,two,0,None,0
6443,okay,0,None,0
6444,do you see the post man,1,do,"1,0,3,0,0,0"
6445,what,0,None,0
6446,horn coming up,0,None,"0,5,0"
6447,now what's the doggie doing,1,s,"0,4,0,0,5"
6448,he's eating what all up,1,s,"4,5,0,0,0"
6449,you're having spaghetti,1,re,"4,5,0"
6450,what is it,1,is,"0,1,0"
6451,can you look in it,1,can,"7,0,1,0,0"
6452,see you,1,see,"1,0"
6453,no you don't,1,don't,"0,0,1"
6454,go and ask Urs what you watch through a telescope,1,go,"1,0,1,0,0,0,1,0,0,0"
6455,ask Urs what you watch through a telescope,1,ask,"1,0,0,0,1,0,0,0"
6456,what you watch through a telescope,1,watch,"0,0,1,0,0,0"
6457,no close it and turn it over,1,close,"0,1,0,0,1,0,0"
6458,what were the magic words that Urs said,2,were,"0,2,0,0,0,0,0,2"
6459,the magic words that Urs said,2,said,"0,0,0,0,0,2"
6460,with a beard,0,None,"0,0,0"
6461,turn it over,1,turn,"1,0,0"
6462,and say the magic words,1,say,"0,1,0,0,0"
6463,what are the magic words,1,are,"0,1,0,0,0"
6464,you didn't say the right magic words,2,didn't,"0,2,3,0,0,0,0"
6465,close it and try again,1,close,"1,0,0,1,0"
6466,try again,1,try,"1,0"
6467,turn it over,1,turn,"1,0,0"
6468,now rub it,1,rub,"0,1,0"
6469,what are you doing,1,are,"0,1,0,5"
6470,what,0,None,0
6471,put the cookies back on the table so Urs and Cromer can have some,1,put,"0,0,0,0,0,0,0,0,0,0,0,7,3,0"
6472,so Urs and Cromer can have some,1,can,"0,0,0,0,7,3,0"
6473,Adam where are you going with the cookies,3,are you going,"0,0,1,0,5,0,0,0"
6474,mhm,0,None,0
6475,under the chair with your telephone,0,None,"0,0,0,0,0,0"
6476,careful Adam did you hit Urs,2,did,"0,0,2,0,3,0"
6477,no you didn't hit me,2,didn't,"0,0,2,3,0"
6478,she's funny,1,s,"4,0"
6479,tractor,0,None,0
6480,your bunkhouse,0,None,"0,0"
6481,no it's over there,1,s,"0,4,0,0"
6482,where's what,1,s,"4,0"
6483,your washing machine,0,None,"0,0,0"
6484,is that what you said,1,is,"1,0,0,0,2"
6485,what you said,2,said,"0,0,2"
6486,I think it's behind the door,1,s,"0,1,4,0,0,0"
6487,behind the door,0,None,"0,0,0"
6488,in the box of toys behind you,0,None,"0,0,0,0,0,0,0"
6489,is it in there,1,is,"1,0,0,0"
6490,I thought you said it was in there,2,thought,"0,2,0,2,0,2,0,0"
6491,you said it was in there,2,said,"0,2,0,2,0,0"
6492,it was in there,2,was,"0,2,0,0"
6493,you're looking for it,1,re,"4,5,0,0"
6494,there it is,1,is,"0,0,1"
6495,right in my lap,0,None,"0,0,0,0"
6496,that wasn't a dime,2,wasn't,"0,2,0,0"
6497,that was a penny,2,wasn't,"0,2,0,0"
6498,it's on the floor,1,s,"4,0,0,0"
6499,didn't you see the penny,2,didn't,"2,0,3,0,0"
6500,turn it over and say the magic words,1,turn,"1,0,0,0,1,0,0,0"
6501,say the magic words,1,say,"1,0,0,0"
6502,is that right,1,is,"1,0,0"
6503,did you turn it over,2,did,"2,0,3,0,0"
6504,I don't know,1,don't,"0,1,3"
6505,you hafta ask Urs,1,hafta,"0,1,3,0"
6506,you have some more,1,have,"0,1,0,0"
6507,you spilled it didn't you,2,spilled,"0,2,0,2,0"
6508,didn't you,2,didn't,"2,0"
6509,yes,0,None,0
6510,over towards the door,0,None,"0,0,0,0"
6511,the other door,0,None,"0,0,0"
6512,careful Adam,0,None,"0,0"
6513,thank you who,1,thank,"1,0,0"
6514,magic words,0,None,"0,0"
6515,where's the magic box,1,s,"4,0,0,0"
6516,what does the big bad giant say,1,does,"0,1,0,0,0,0,0"
6517,magic hand,0,None,"0,0"
6518,do you remember that story,1,do,"1,0,3,0,0"
6519,puppy,0,None,0
6520,did you ask Cromer if he wants another cookie,2,did,"2,0,3,0,0,0,1,0,0"
6521,if he wants another cookie,1,wants,"0,0,1,0,0"
6522,I thought you were going to ask her if she wanted something else,2,thought,"0,2,0,2,5,0,3,0,0,0,2,0,0"
6523,you were going to ask her if she wanted something else,2,were,"0,2,5,0,1,0,0,0,2,0,0"
6524,if she wanted something else,2,wanted,"0,0,2,0,0"
6525,one what,0,None,"0,0"
6526,one piece of dirt,0,None,"0,0,0,0"
6527,what is that,1,is,"0,1,0"
6528,hm,0,None,0
6529,no no Adam,0,None,"0,0,0"
6530,what is it,1,is,"0,1,0"
6531,Chocks are vitamins,1,are,"0,1,0"
6532,she didn't say Chocks,2,didn't,"0,2,0,0"
6533,she said chalk,2,said,"0,2,0"
6534,I don't know,1,don't,"0,1,3"
6535,did you show Urs the puppet,2,did,"2,0,3,0,0,0"
6536,she wouldn't frighten you,1,wouldn't,"0,7,3,0"
6537,hello,0,None,0
6538,you're tired,1,re,"4,0"
6539,are you tired,1,are,"1,0,0"
6540,what is it,1,is,"0,1,0"
6541,you open it,1,open,"0,1,0"
6542,blow,1,blow,1
6543,funny baseball I think he said,1,think,"0,0,0,1,0,2"
6544,he said,2,said,"0,2"
6545,that's the other part of Urs game isn't it,1,s,"4,0,0,0,0,0,0,1,0"
6546,you hafta wash it,1,hafta,"0,1,3,0"
6547,how did it get dirty,2,did,"0,2,0,3,0"
6548,what are you looking for in there,1,are,"0,1,0,5,0,0,0"
6549,did you ask Urs,2,did,"2,0,3,0"
6550,what is he making,1,is,"0,1,0,5"
6551,airplane,0,None,0
6552,what is it Adam,1,is,"0,1,0,0"
6553,it can't be fixed,1,can't,"0,7,3,8"
6554,hm,0,None,0
6555,okay you go back out there and I'll let you have it,1,go,"0,0,1,0,0,0,0,6,3,0,3,0"
6556,and I'll let you have it,3,ll,"0,6,3,0,3,0"
6557,I'm trying to put it together but I don't know how,1,m,"4,6,0,3,0,0,0,0,1,3,0"
6558,but I don't know how,1,don't,"0,0,1,3,0"
6559,hm,0,None,0
6560,I know but it's not all together,1,know,"0,1,0,4,0,0,0"
6561,it's not all together,1,s,"4,0,0,0"
6562,you put it back together,1,put,"0,1,0,0,0"
6563,mhm,0,None,0
6564,when you take those it comes apart,1,take,"0,0,1,0,0,1,0"
6565,it comes apart,1,comes,"0,1,0"
6566,you cracked it,2,cracked,"0,2,0"
6567,down the meat,0,None,"0,0,0"
6568,it turns like an airplane,1,turns,"0,1,0,0,0"
6569,hm,0,None,0
6570,what's going around,1,s,"4,5,0"
6571,propellers,0,None,0
6572,hm,0,None,0
6573,propellers are on airplanes aren't they,1,are,"0,1,0,0,1,0"
6574,on an airplane someplace,0,None,"0,0,0,0"
6575,when you see an airplane you see propellers,1,see,"0,0,1,0,0,0,1,0"
6576,you see propellers,1,see,"0,1,0"
6577,I don't know,1,don't,"0,1,3"
6578,I don't know,1,don't,"0,1,3"
6579,it doesn't look like it does,1,doesn't,"0,1,3,0,0,1"
6580,you can ride it,1,can,"0,7,3,0"
6581,who's a strawberry,1,s,"4,0,0"
6582,am I a strawberry,1,am,"1,0,0,0"
6583,where is the ball,1,is,"0,1,0,0"
6584,oh yes,0,None,"0,0"
6585,there it is Adam,1,is,"0,1,0,0"
6586,behind the kitchen door,0,None,"0,0,0,0"
6587,did you have the ball in there,2,did,"2,0,3,0,0,0,0"
6588,where's the ball,1,s,"4,0,0"
6589,what happened Adam,2,happened,"0,2,0"
6590,don't what,1,don't,"1,0"
6591,why should I burn you,1,should,"0,7,0,3,0"
6592,your what,0,None,"0,0"
6593,wait Adam,1,wait,"1,0"
6594,what,0,None,0
6595,did you say dance,2,did,"2,0,3,0"
6596,wait you come around here honey,1,wait,"1,0,1,0,0,0"
6597,you come around here honey,1,come,"0,1,0,0,0"
6598,this is yours,1,is,"0,1,0"
6599,no let him take his own,1,let,"0,1,0,3,0,0"
6600,you don't know how much he wants,1,don't,"0,1,3,0,0,0,1"
6601,how much he wants,1,wants,"0,0,0,1"
6602,okay,0,None,0
6603,do you want  ask Urs if she wants some,1,want,"1,0,3,3,0,0,0,3,0"
6604,ask Urs if she wants some,1,ask,"1,0,0,0,1,0"
6605,if she wants some,1,wants,"0,0,1,0"
6606,no she said one,2,said,"0,0,2,0"
6607,Adam how many cookies do you want,1,do,"0,0,0,0,1,0,3"
6608,just one,0,None,"0,0"
6609,yes,0,None,0
6610,Adam did you say you're Urs,2,did,"0,2,0,3,4,0"
6611,you're Urs,1,re,"4,0"
6612,well then Urs must be Adam,1,must,"0,0,0,7,3,0"
6613,you'll probably be a cowboy,3,ll,"6,0,3,0,0"
6614,where are you going with that cookie,1,are,"0,1,0,5,0,0,0"
6615,what did you say Adam,2,did,"0,2,0,3,0"
6616,please don't call you,1,don't,"0,1,3,0"
6617,why not,0,None,"0,0"
6618,because Bobo's crying,1,s,"0,4,5"
6619,why is Bobo crying,1,is,"0,1,0,5"
6620,oh he's crying at fourteen o'clock,1,s,"0,4,5,0,0,0"
6621,why,0,None,0
6622,you were upstairs,2,were,"0,2,0"
6623,and he was crying because you were upstairs,2,was,"0,0,2,5,0,0,2,0"
6624,because you were upstairs,2,were,"0,0,2,0"
6625,he wants you downstairs,1,wants,"0,1,0,0"
6626,he didn't want you to take a nap,2,didn't,"0,2,3,0,0,3,0,0"
6627,you're dripping,1,re,"4,5"
6628,you're sposta drink it honey,1,re,"4,8,3,0,0"
6629,you don't eat it with a spoon,1,don't,"0,1,3,0,0,0,0"
6630,that's right,1,s,"4,0"
6631,it's good,1,s,"4,0"
6632,why do you say ssh,1,do,"0,1,0,3,0"
6633,cowboy's sleeping,1,s,"4,5"
6634,where's the cowboy,1,don't,"4,0,0"
6635,you don't know but you know he's sleeping,1,don't,"0,1,3,0,0,1,4,5"
6636,but you know he's sleeping,1,know,"0,0,0,4,5"
6637,he's sleeping,1,s,"4,5"
6638,mhm,0,None,0
6639,look on your shirt,1,look,"1,0,0,0"
6640,cranberry juice on your shirt,0,None,"0,0,0,0,0"
6641,that's why you should drink it,1,s,"4,0,0,7,3,0"
6642,why you should drink it,1,should,"0,0,7,3,0"
6643,no you don't need water on that dear,1,don't,"0,0,1,3,0,0,0,0"
6644,you wanna smoke Camels,1,wanna,"0,1,3,0"
6645,why do you wanna smoke Camels,1,don't,"0,1,0,3,3,0"
6646,I didn't say when I said why,2,didn't,"0,2,3,0,0,2,0"
6647,when I said why,2,said,"0,0,2,0"
6648,yes what,0,None,"0,0"
6649,yes Urs Paul,0,None,"0,0,0"
6650,you're playing a new game,1,re,"4,5,0,0,0"
6651,what is it,1,is,"0,1,0"
6652,I don't know,1,don't,"0,1,3"
6653,you found it,2,found,"0,2,0"
6654,where did you find it,2,did,"0,2,0,1,0"
6655,oh magic words and it disappeared,2,disappeared,"0,0,0,0,0,2"
6656,what happens now,1,happens,"0,1,0"
6657,oh did you say the right magic words,2,did,"0,2,0,3,0,0,0,0"
6658,is that right,1,is,"1,0,0"
6659,did you turn it over,2,did,"2,0,3,0,0"
6660,now say the magic words,1,say,"0,1,0,0,0"
6661,then what happens,1,happens,"0,0,2"
6662,say the magic words,1,say,"1,0,0,0"
6663,you ask Ursula,1,ask,"0,1,0"
6664,cowboy shale or cowboy Bill,0,None,"0,0,0,0,0"
6665,cowboy Bill,0,None,"0,0"
6666,don't put them in anyone's face,1,don't,"1,3,0,0,0,0"
6667,can you tell Urs what that is,1,can,"7,0,3,0,0,0,1"
6668,what that is,1,is,"0,0,1"
6669,no what's that in your hand,1,s,"0,4,0,0,0,0"
6670,what is that,1,is,"0,1,0"
6671,top to what,0,None,"0,0,0"
6672,yes a baby carriage,0,None,"0,0,0,0"
6673,are you finished,1,are,"1,0,8"
6674,do you want some more coffee,1,do,"1,0,3,0,0,0"
6675,oh are you eating a cookie,1,are,"0,1,0,5,0,0"
6676,you like what,1,like,"0,1,0"
6677,dancing,0,None,5
6678,your spoon,0,None,"0,0"
6679,you left it out on the table,2,left,"0,2,0,0,0,0,0"
6680,don't burn you,1,don't,"1,3,0"
6681,fire truck,0,None,"0,0"
6682,fire on what,0,None,"0,0,0"
6683,on gun,0,None,"0,0"
6684,is that where the fire truck has gone,1,is,"1,0,0,0,0,0,1,8"
6685,where the fire truck has gone,1,has,"0,0,0,0,1,8"
6686,can you put the fire out on guns,1,can,"7,0,3,0,0,0,0,0"
6687,they wouldn't need a big fire truck for that,1,wouldn't,"0,7,3,0,0,0,0,0,0"
6688,oh no he can't blow it,1,can't,"0,0,0,7,3,0"
6689,you blow it,1,blow,"0,1,0"
6690,you can blow,1,can,"0,7,1"
6691,that's right,1,s,"4,0"
6692,that's right,1,s,"4,0"
6693,that's right,1,s,"4,0"
6694,what's in it when you blow,1,s,"4,0,0,0,0,1"
6695,when you blow,1,blow,"0,0,1"
6696,some sugar,0,None,"0,0"
6697,you blow it,1,blow,"0,1,0"
6698,come here and I'll show you how to do it,1,come,"1,0,0,6,3,0,0,0,3,0"
6699,and I'll show you how to do it,3,ll,"0,6,3,0,0,0,3,0"
6700,let me hold it and help you,1,let,"1,0,3,0,0,1,0"
6701,help you,1,help,"1,0"
6702,hold it at the top,1,hold,"1,0,0,0,0"
6703,what are the colors,1,are,"0,1,0,0"
6704,red yes,0,None,"0,0"
6705,what color is that,1,is,"0,0,1,0"
6706,hm,0,None,0
6707,painting,0,None,5
6708,what color is that,1,is,"0,0,1,0"
6709,what color is that,1,is,"0,0,1,0"
6710,what color is that,1,is,"0,0,1,0"
6711,what color is that,1,is,"0,0,1,0"
6712,red,0,None,0
6713,no,0,None,0
6714,hold it now,1,hold,"1,0,0"
6715,you managed,2,managed,"0,2"
6716,hopping to Missouri,0,None,"5,0,0"
6717,that's a song,1,s,"4,0,0"
6718,hopping to Missouri in the bag,0,None,"5,0,0,0,0,0"
6719,Shadow Gay is the horse that won the Kentucky Derby,1,is,"0,0,1,0,0,0,2,0,0,0"
6720,that won the Kentucky Derby,2,won,"0,2,0,0,0"
6721,how does he hop,1,does,"0,1,0,3"
6722,what,0,None,0
6723,airplane walk,0,None,"0,0"
6724,two of them,0,None,"0,0,0"
6725,you go talk to Urs,1,go,"0,1,3,0,0"
6726,ask her why you put string on it,1,ask,"1,0,0,0,1,0,0,0"
6727,why you put string on it,1,put,"0,0,1,0,0,0"
6728,cowboy's going to shoot with you,3,s going to,"4,5,0,3,0,0"
6729,what cowboy,0,None,"0,0"
6730,he didn't say anything,2,didn't,"0,2,3,0"
6731,soxy soccer,0,None,"0,0"
6732,on my face,0,None,"0,0,0"
6733,he saw some clowns at the circus throw pies,2,saw,"0,2,0,0,0,0,0,1,0"
6734,some clowns at the circus throw pies,1,throw,"0,0,0,0,0,1,0"
6735,you're going to get out your game,3,re going to,"4,5,0,3,0,0,0"
6736,what game,0,None,"0,0"
6737,soxer,0,None,0
6738,what's a soxer,0,None,"0,0,0"
6739,saucer,0,None,0
6740,no I say boxer,1,say,"0,0,1,0"
6741,what did you say,2,did,"0,2,0,3"
6742,come little fellow,1,come,"1,0,0"
6743,you're going to wait for something,3,re going to,"4,5,0,3,0,0"
6744,what did you say,2,did,"0,2,0,3"
6745,good word,0,None,"0,0"
6746,he doesn't want pie,1,doesn't,"0,1,3,0"
6747,you go back in the living room,1,go,"0,1,0,0,0,0,0"
6748,come on,1,come,"1,0"
6749,let's go,1,let's,"1,3"
6750,oh what are you now,1,are,"0,0,1,0,0"
6751,whoops,0,None,0
6752,baseball,0,None,0
6753,the song was daisy daisy,2,was,"0,0,2,0,0"
6754,did you break one of the wheels,2,did,"2,0,3,0,0,0,0"
6755,why did you do that,2,did,"0,2,0,3,0"
6756,because Shadow Gay did what,2,did,"0,0,0,2,0"
6757,hugged you,2,hugged,"2,0"
6758,you've already put sugar in yours so here's your right here,1,ve,"4,0,8,0,0,0,0,4,0,0,0"
6759,so here's your right here,1,s,"0,4,0,0,0"
6760,no that's enough then,1,s,"0,4,0,0"
6761,thank you,1,thank,"1,0"
6762,well she'll get her own,3,ll,"0,6,3,0,0"
6763,did you think she needs a helper,2,did,"2,0,3,0,1,0,0"
6764,she needs a helper,1,needs,"0,1,0,0"
6765,Adam,0,None,0
6766,what,0,None,0
6767,what man,0,None,"0,0"
6768,oh,0,None,0
6769,very best,0,None,"0,0"
6770,alright,0,None,0
6771,give me your cup,1,give,"1,0,0,0"
6772,careful,0,None,0
6773,don't drop it please,1,don't,"1,3,0,0"
6774,Jenny cup,0,None,"0,0"
6775,what's a Jenny cup,1,s,"4,0,0,0"
6776,what,0,None,0
6777,what,0,None,0
6778,presto,0,None,0
6779,are you going to be little,3,are you going,"1,0,5,0,3,0"
6780,when,0,None,0
6781,why am I mixing the baby's chocolate,1,am,"0,1,0,5,0,0,0"
6782,so the baby can drink it,1,can,"0,0,0,7,3,0"
6783,oh you're Adam,1,re,"0,4,0"
6784,no no,0,None,"0,0"
6785,okay just a minute you hold that,1,hold,"0,0,0,0,0,1,0"
6786,here it is,1,is,"0,0,1"
6787,see what happens when you put it in,1,happens,"1,0,1,0,0,1,0,0"
6788,when you put it in,1,put,"0,0,1,0,0"
6789,if you wanna drink it,1,wanna,"0,0,1,3,0"
6790,you're going to swallow it,3,re going to,"4,5,0,3,0"
6791,careful Adam,0,None,"0,0"
6792,you were playing with it and you spilled it,2,were,"0,2,5,0,0,0,0,2,0"
6793,you spilled it,2,spilled,"0,2,0"
6794,yes you did,2,did,"0,0,2"
6795,you spilled it again,2,spilled,"0,2,0,0"
6796,where,0,None,0
6797,it's hot,1,s,"4,0"
6798,no,0,None,0
6799,because it will burn you,3,will,"0,0,9,3,0"
6800,you like it,1,like,"0,1,0"
6801,you broke another wheel,2,broke,"0,2,0,0"
6802,you're going to hafta buy another one and give it to Urs because you're breaking that one,3,re going to,"4,5,0,3,3,0,0,0,3,0,0,0,0,4,5,0,0"
6803,because it doesn't go if you break it,1,doesn't,"0,0,1,3,0,0,1,0"
6804,if you break it,1,break,"0,0,1,0"
6805,no if you take those off the wheels will come off,1,take,"0,0,0,1,0,0,0,0,9,3,0"
6806,the wheels will come off,3,will,"0,0,9,3,0"
6807,no then it doesn't go if the wheels are off,1,doesn't,"0,0,0,1,3,0,0,0,1,0"
6808,if the wheels are off,1,are,"0,0,0,1,0"
6809,are those airplanes just like,1,are,"1,0,0,0,0"
6810,they are,1,are,"0,1"
6811,I don't see any propellers on that one,1,don't,"0,1,3,0,0,0,0,0"
6812,are there any propellers,1,are,"1,0,0,0"
6813,where,0,None,0
6814,I don't see any,1,don't,"0,1,3,0"
6815,I guess I'm not looking in the right place,1,guess,"0,1,4,0,5,0,0,0,0"
6816,I'm not looking in the right place,1,m,"4,0,5,0,0,0,0"
6817,careful Adam,0,None,"0,0"
6818,put your hand down and get it out,1,put,"1,0,0,0,0,1,0,0"
6819,and get it out,1,get,"0,1,0,0"
6820,what she,0,None,"0,0"
6821,oh Urs,0,None,"0,0"
6822,well put your cup on the table there,1,put,"0,1,0,0,0,0,0,0"
6823,well pretend that that's coffee okay,1,pretend,"0,1,0,4,0,0"
6824,that's coffee okay,1,s,"4,0,0"
6825,okay,0,None,0
6826,what happened,2,happened,"0,2"
6827,your spoon got stuck,2,got,"0,0,2,8"
6828,down your throat,0,None,"0,0,0"
6829,why don't you take the things out of your bag and you be Urs,1,don't,"0,1,0,3,0,0,0,0,0,0,0,0,3,0"
6830,you don't have anything in your bag do you,1,don't,"0,1,3,0,0,0,0,1,0"
6831,what name is it Adam,1,is,"0,0,1,0,0"
6832,you're going to save it,3,re going to,"4,5,0,3,0"
6833,until your birthday time,0,None,"0,0,0,0"
6834,alright,0,None,0
6835,give it to me,1,give,"1,0,0,0"
6836,no put it on the table,1,put,"0,1,0,0,0,0"
6837,you may break it there,1,may,"0,7,3,0,0"
6838,do you wanna have a birthday,1,do,"1,0,3,3,0,0"
6839,in what,0,None,"0,0"
6840,oh you're going to let it cool on the stove,1,re going to,"0,4,5,0,3,0,3,0,0,0"
6841,is that your stove,1,is,"1,0,0,0"
6842,take him out,1,take,"1,0,0"
6843,pull him out,1,pull,"1,0,0"
6844,let me see,1,let,"1,0,3"
6845,what about water,0,None,"0,0,0"
6846,how does the water get in here,1,does,"0,1,0,0,3,0,0"
6847,I just put the driver in the back,2,put,"0,0,1,0,0,0,0,0"
6848,drive what,1,drive,"1,0"
6849,drive by Main Street,1,drive,"1,0,0,0"
6850,you're so what,1,re,"4,0,0"
6851,oh you're so tired,1,re,"0,4,0,0"
6852,what about Urs and Cromer,0,None,"0,0,0,0,0"
6853,no no Adam,0,None,"0,0,0"
6854,no she doesn't wanna wear that hat,1,doesn't,"0,0,1,3,3,0,0"
6855,that's a boy's hat,1,s,"4,0,0,0"
6856,a little boy's hat,0,None,"0,0,0,0"
6857,yes and you're a little boy,1,re,"0,0,4,0,0,0"
6858,you're not,1,re,"4,0"
6859,what are you,1,are,"0,1,0"
6860,you're Adam,1,re,"4,0"
6861,Adam boy,0,None,"0,0"
6862,how about boy Adam,0,None,"0,0,0,0"
6863,oh it's cool now,1,s,"0,4,0,0"
6864,it's not cool,1,s,"4,0,0"
6865,why not,0,None,"0,0"
6866,let's cool that time,1,let's,"1,3,0,0"
6867,you're going to wash dishes,1,re,"4,5,0,0,0"
6868,well I'm afraid you're going to break the plate,1,m,"0,4,0,4,5,0,3,0,0"
6869,you're going to break the plate,3,re going to,"4,5,0,3,0,0"
6870,if you break it then I won't have one,1,break,"0,0,1,0,0,0,9,3,0"
6871,then I won't have one,3,won't,"0,0,9,3,0"
6872,what did you say,2,did,"0,2,0,3"
6873,soxer,0,None,0
6874,let's go back in,1,let's,"1,3,0,0"
6875,yes,0,None,0
6876,you're going to wait for me,3,re going to,"4,5,0,3,0,0"
6877,alright,0,None,0
6878,I'll come in,3,ll,"6,3,0"
6879,now I'll wait for you to come in,3,ll,"0,6,3,0,0,0,3,0"
6880,don't wait for you to come in,1,don't,"1,3,0,0,0,3,0"
6881,why not,0,None,"0,0"
6882,because Urs is broken,1,is,"1,0,1,0"
6883,how did she get broken,2,did,"0,2,0,1,0"
6884,how did Urs get broken,2,did,"0,2,0,1,0"
6885,broken on Thursday,0,None,"0,0,0"
6886,you're coming with your what,1,re,"4,5,0,0,0"
6887,something to show you,0,None,"0,0,3,0"
6888,no don't pull your rubbers like that,1,don't,"0,1,3,0,0,0,0"
6889,no no,0,None,"0,0"
6890,well that's alright,1,s,"0,4,0"
6891,you don't hafta wear it,1,don't,"0,1,3,3,0"
6892,just don't pull your rubbers,1,don't,"0,1,3,0,0"
6893,put what on,1,put,"1,0,0"
6894,I see why you didn't wanna come in,1,see,"0,1,0,0,2,3,3,0"
6895,why you didn't wanna come in,2,didn't,"0,0,2,3,3,0"
6896,some child outside,0,None,"0,0,0"
6897,they're playing,1,re,"4,5"
6898,they're playing,1,re,"4,5"
6899,I don't think they're fighting,1,don't,"0,1,3,4,5"
6900,they're fighting,1,re,"4,5"
6901,I think they're just playing,1,think,"0,1,4,0,5"
6902,they're just playing,1,re,"4,0,5"
6903,going to do what,0,None,"5,0,3,0"
6904,you're going to do what,3,re going to,"4,5,0,3,0"
6905,what,0,None,0
6906,what is that,1,is,"0,1,0"
6907,a word,0,None,"0,0"
6908,what does that word mean,1,does,"0,1,0,0,3"
6909,we don't need lights on,1,don't,"0,1,3,0,0"
6910,it's daytime Adam,1,s,"4,0,0"
6911,we only need the lights on at night,1,need,"0,0,1,0,0,0,0,0"
6912,because we have the sun,1,have,"0,0,1,0,0"
6913,it's light enough without the electric light,1,s,"4,0,0,0,0,0,0"
6914,electricity,0,None,0
6915,you're a derrick,1,re,"4,0,0"
6916,I don't think they're fighting,1,don't,"0,1,3,4,5"
6917,I think they're just playing,1,think,"0,1,4,0,5"
6918,they're just playing,1,re,"4,0,5"
6919,children outside,0,None,"0,0"
6920,more what,0,None,"0,0"
6921,no I don't think you need any more chocolate,1,don't,"0,0,1,3,0,3,0,0,0"
6922,you need any more chocolate,1,need,"0,1,0,0,0"
6923,well you still have your juice,1,have,"0,0,0,1,0,0"
6924,okay,0,None,0
6925,no,0,None,0
