,Sentence,Tense,Verb,NER Tag,encode_sent,POS,TAG
7257,what are they,1,are,"0,1,0","0, 312, 385, 412, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBP', 'PRP']"
7258,yes,0,None,0,"0, 506, 2",['INTJ'],['UH']
7259,they are hangers,1,are,"0,1,0","0, 544, 385, 20615, 2","['PRON', 'AUX', 'NOUN']","['PRP', 'VBP', 'NNS']"
7260,where does it go,1,does,"0,1,0,3","0, 442, 462, 290, 316, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBZ', 'PRP', 'VB']"
7261,do you know where that goes,1,does,"1,0,3,0,0,1","0, 410, 273, 378, 605, 296, 759, 2","['AUX', 'PRON', 'VERB', 'ADV', 'DET', 'VERB']","['VBP', 'PRP', 'VB', 'WRB', 'DT', 'VBZ']"
7262,where that goes,1,goes,"0,0,1","0, 442, 296, 759, 2","['ADV', 'DET', 'VERB']","['WRB', 'DT', 'VBZ']"
7263,where,0,None,0,"0, 442, 2",['ADV'],['WRB']
7264,what do you do with those,1,do,"0,1,0,3,0,0","0, 312, 299, 273, 299, 392, 594, 2","['PRON', 'AUX', 'PRON', 'AUX', 'ADP', 'DET']","['WP', 'VBP', 'PRP', 'VB', 'IN', 'DT']"
7265,you've finished with those,1,ve,"0,4,8,0,0","0, 266, 749, 1535, 392, 594, 2","['PRON', 'AUX', 'VERB', 'ADP', 'DET']","['PRP', 'VB', 'VBN', 'IN', 'DT']"
7266,wait wait,1,wait,"1,1","0, 1131, 935, 2","['VERB', 'VERB']","['VB', 'VB']"
7267,finished what,2,finished,"2,0","0, 8002, 339, 2","['VERB', 'PRON']","['VBD', 'WP']"
7268,no I don't think it opens does it,1,don't,"0,0,1,0,3,0,1,1,0","0, 286, 322, 358, 309, 399, 290, 4378, 462, 290, 2","['INTJ', 'PRON', 'AUX', 'PART', 'VERB', 'PRON', 'VERB', 'AUX', 'PRON']","['UH', 'PRP', 'VBP', 'RB', 'VB', 'PRP', 'VBZ', 'VBZ', 'PRP']"
7269,it opens does it,1,opens,"0,1,1,0","0, 274, 4378, 462, 290, 2","['PRON', 'VERB', 'AUX', 'PRON']","['PRP', 'VBZ', 'VBZ', 'PRP']"
7270,does it,1,does,"1,0","0, 791, 290, 2","['AUX', 'PRON']","['VBZ', 'PRP']"
7271,show me please,1,show,"1,0,0","0, 1772, 376, 909, 2","['VERB', 'PRON', 'INTJ']","['VB', 'PRP', 'UH']"
7272,you hafta stand up and do it,1,hafta,"0,1,3,0,0,3,0","0, 266, 586, 1211, 403, 329, 299, 290, 2","['PRON', 'NOUN', 'VERB', 'ADP', 'CCONJ', 'AUX', 'PRON']","['PRP', 'NNS', 'VBP', 'RP', 'CC', 'VB', 'PRP']"
7273,maybe you can fix it,1,can,"0,0,7,3,0","0, 882, 273, 377, 1153, 290, 2","['ADV', 'PRON', 'VERB', 'VERB', 'PRON']","['RB', 'PRP', 'MD', 'VB', 'PRP']"
7274,can you try,1,can,"7,0,3","0, 473, 273, 674, 2","['VERB', 'PRON', 'VERB']","['MD', 'PRP', 'VB']"
7275,please,0,None,0,"0, 1653, 2",['INTJ'],['UH']
7276,do you know what it is,1,do,"1,0,3,0,0,1","0, 410, 273, 378, 339, 290, 328, 2","['AUX', 'PRON', 'VERB', 'PRON', 'PRON', 'AUX']","['VBP', 'PRP', 'VB', 'WP', 'PRP', 'VBZ']"
7277,what is it,1,is,"0,1,0","0, 312, 328, 290, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'PRP']"
7278,come on fellow,1,come,"1,0,0","0, 528, 307, 5156, 2","['VERB', 'ADP', 'NOUN']","['VB', 'IN', 'NN']"
7279,bring it here,1,bring,"1,0,0","0, 2602, 290, 402, 2","['VERB', 'PRON', 'ADV']","['VB', 'PRP', 'RB']"
7280,I'll turn it for you,3,ll,"0,6,3,0,0,0","0, 45, 436, 707, 290, 397, 273, 2","['PRON', 'VERB', 'VERB', 'PRON', 'ADP', 'PRON']","['PRP', 'MD', 'VB', 'PRP', 'IN', 'PRP']"
7281,hm,0,None,0,"0, 429, 2",['INTJ'],['UH']
7282,pick what up,1,pick,"1,0,0","0, 2251, 339, 403, 2","['VERB', 'PRON', 'ADP']","['VB', 'WP', 'RP']"
7283,hold your hand way way up,1,hold,"1,0,0,0,0,0","0, 1667, 345, 701, 656, 656, 403, 2","['VERB', 'DET', 'NOUN', 'NOUN', 'ADV', 'ADV']","['VB', 'PRP$', 'NN', 'NN', 'RB', 'RB']"
7284,go high as you can,1,go,"1,0,0,0,7","0, 741, 1572, 616, 273, 377, 2","['VERB', 'ADV', 'SCONJ', 'PRON', 'VERB']","['VB', 'RB', 'IN', 'PRP', 'MD']"
7285,now let go,1,let,"0,1,3","0, 330, 538, 316, 2","['ADV', 'VERB', 'VERB']","['RB', 'VB', 'VB']"
7286,okay,0,None,0,"0, 367, 2",['INTJ'],['UH']
7287,don't hold it with you,1,don't,"1,0,3,0,0,0","0, 629, 309, 904, 290, 392, 273, 2","['AUX', 'PART', 'VERB', 'PRON', 'ADP', 'PRON']","['VB', 'RB', 'VB', 'PRP', 'IN', 'PRP']"
7288,well hold your hand way way up,1,hold,"0,1,0,0,0,0,0","0, 492, 904, 345, 701, 656, 656, 403, 2","['INTJ', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADV', 'ADV']","['UH', 'VB', 'PRP$', 'NN', 'NN', 'RB', 'RB']"
7289,drop it down,1,drop,"1,0,0","0, 6425, 290, 483, 2","['VERB', 'PRON', 'ADP']","['VB', 'PRP', 'RP']"
7290,now pull it back up,1,pull,"0,1,0,0,0","0, 330, 1108, 290, 511, 403, 2","['ADV', 'VERB', 'PRON', 'ADP', 'ADP']","['RB', 'VB', 'PRP', 'RP', 'RP']"
7291,that's right,1,s,"0,4,0","0, 363, 279, 434, 2","['DET', 'AUX', 'ADJ']","['DT', 'VBZ', 'JJ']"
7292,you're dumping,1,re,"0,4,5","0, 266, 375, 10237, 2","['PRON', 'AUX', 'VERB']","['PRP', 'VBP', 'VBG']"
7293,he was dumping trash out,2,was,"0,2,5,0,0","0, 262, 405, 10237, 2530, 428, 2","['PRON', 'AUX', 'VERB', 'NOUN', 'ADP']","['PRP', 'VBD', 'VBG', 'NN', 'RP']"
7294,he was dumping trash out,2,was,"0,2,5,0,0","0, 262, 405, 10237, 2530, 428, 2","['PRON', 'AUX', 'VERB', 'NOUN', 'ADP']","['PRP', 'VBD', 'VBG', 'NN', 'RP']"
7295,that's your tie,1,s,"0,4,0,0","0, 363, 279, 345, 3068, 2","['DET', 'AUX', 'DET', 'NOUN']","['DT', 'VBZ', 'PRP$', 'NN']"
7296,can you tie your tie,1,can,"7,0,3,0,0","0, 473, 273, 3068, 345, 3068, 2","['VERB', 'PRON', 'VERB', 'DET', 'NOUN']","['MD', 'PRP', 'VB', 'PRP$', 'NN']"
7297,no,0,None,0,"0, 286, 2",['INTJ'],['UH']
7298,okay,0,None,0,"0, 367, 2",['INTJ'],['UH']
7299,here's the string,1,s,"0,4,0,0","0, 355, 279, 272, 2697, 2","['ADV', 'AUX', 'DET', 'NOUN']","['RB', 'VBZ', 'DT', 'NN']"
7300,yes it is turning around,1,is,"0,0,1,5,0","0, 506, 290, 328, 3033, 740, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'ADP']","['UH', 'PRP', 'VBZ', 'VBG', 'RP']"
7301,it stopped,2,stopped,"0,2","0, 274, 3279, 2","['PRON', 'VERB']","['PRP', 'VBD']"
7302,it feels a little like rubber I guess,1,feels,"0,1,0,0,0,0,0,1","0, 274, 2890, 265, 439, 349, 3645, 322, 1020, 2","['PRON', 'VERB', 'DET', 'ADJ', 'SCONJ', 'NOUN', 'PRON', 'VERB']","['PRP', 'VBZ', 'DT', 'JJ', 'IN', 'NN', 'PRP', 'VBP']"
7303,I don't think so,1,don't,"0,1,0,3,0","0, 45, 358, 309, 399, 437, 2","['PRON', 'AUX', 'PART', 'VERB', 'ADV']","['PRP', 'VBP', 'RB', 'VB', 'RB']"
7304,I think it's all wood,1,think,"0,1,0,4,0,0","0, 45, 399, 290, 279, 432, 1864, 2","['PRON', 'VERB', 'PRON', 'AUX', 'DET', 'NOUN']","['PRP', 'VBP', 'PRP', 'VBZ', 'DT', 'NN']"
7305,it's all wood,1,s,"0,4,0,0","0, 274, 279, 432, 1864, 2","['PRON', 'AUX', 'DET', 'NOUN']","['PRP', 'VBZ', 'DT', 'NN']"
7306,but perhaps it's the paint,1,s,"0,0,0,4,0,0","0, 545, 5886, 290, 279, 272, 1947, 2","['CCONJ', 'ADV', 'PRON', 'AUX', 'DET', 'NOUN']","['CC', 'RB', 'PRP', 'VBZ', 'DT', 'NN']"
7307,he comes,1,comes,"0,1","0, 262, 1117, 2","['PRON', 'VERB']","['PRP', 'VBZ']"
7308,he who,0,None,"0,0","0, 262, 592, 2","['PRON', 'PRON']","['PRP', 'WP']"
7309,he who,0,None,"0,0","0, 262, 592, 2","['PRON', 'PRON']","['PRP', 'WP']"
7310,hold your arm way up,1,hold,"1,0,0,0,0","0, 1667, 345, 1868, 656, 403, 2","['VERB', 'DET', 'NOUN', 'ADV', 'ADV']","['VB', 'PRP$', 'NN', 'RB', 'RB']"
7311,what is it,1,is,"0,1,0","0, 312, 328, 290, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'PRP']"
7312,cardy,0,None,"0,0","0, 1989, 475, 2",['PROPN'],['NNP']
7313,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
7314,a word,0,None,"0,0","0, 69, 1504, 2","['DET', 'NOUN']","['DT', 'NN']"
7315,I didn't understand the word,2,didn't,"0,2,0,3,0,0","0, 45, 611, 309, 1830, 272, 1504, 2","['PRON', 'AUX', 'PART', 'VERB', 'DET', 'NOUN']","['PRP', 'VBD', 'RB', 'VB', 'DT', 'NN']"
7316,Adam,0,None,0,"0, 2637, 2",['PROPN'],['NNP']
7317,don't be so rough,1,don't,"1,0,3,0,0","0, 629, 309, 372, 437, 3432, 2","['AUX', 'PART', 'AUX', 'ADV', 'ADJ']","['VB', 'RB', 'VB', 'RB', 'JJ']"
7318,okay let's go,1,let's,"0,1,0,3","0, 367, 538, 279, 316, 2","['INTJ', 'VERB', 'PRON', 'VERB']","['UH', 'VB', 'PRP', 'VB']"
7319,right here,0,None,"0,0","0, 476, 402, 2","['ADV', 'ADV']","['RB', 'RB']"
7320,it's right here,1,s,"0,4,0,0","0, 274, 279, 434, 402, 2","['PRON', 'AUX', 'ADV', 'ADV']","['PRP', 'VBZ', 'RB', 'RB']"
7321,drop it on you,1,drop,"1,0,0,0","0, 6425, 290, 307, 273, 2","['VERB', 'PRON', 'ADP', 'PRON']","['VB', 'PRP', 'IN', 'PRP']"
7322,why,0,None,0,"0, 601, 2",['ADV'],['WRB']
7323,why are you putting sugar in there,1,are,"0,1,0,5,0,0,0","0, 601, 385, 273, 1620, 1888, 318, 386, 2","['ADV', 'AUX', 'PRON', 'VERB', 'NOUN', 'ADV', 'ADV']","['WRB', 'VBP', 'PRP', 'VBG', 'NN', 'RB', 'RB']"
7324,no more,0,None,"0,0","0, 286, 525, 2","['DET', 'ADJ']","['DT', 'JJR']"
7325,do you want more juice,1,do,"1,0,3,0,0","0, 410, 273, 427, 525, 883, 2","['AUX', 'PRON', 'VERB', 'ADJ', 'NOUN']","['VBP', 'PRP', 'VB', 'JJR', 'NN']"
7326,how can a cracker cry,1,can,"0,7,0,0,3","0, 467, 377, 265, 2502, 1492, 2","['ADV', 'VERB', 'DET', 'NOUN', 'VERB']","['WRB', 'MD', 'DT', 'NN', 'VB']"
7327,crackers can't talk,1,can't,"0,7,0,3","0, 9160, 377, 309, 720, 2","['NOUN', 'VERB', 'PART', 'VERB']","['NNS', 'MD', 'RB', 'VB']"
7328,you eat crackers,1,eat,"0,1,0","0, 266, 466, 3266, 2","['PRON', 'VERB', 'NOUN']","['PRP', 'VBP', 'NNS']"
7329,how can crackers talk,1,can,"0,7,0,3","0, 467, 377, 3266, 720, 2","['ADV', 'VERB', 'NOUN', 'VERB']","['WRB', 'MD', 'NNS', 'VB']"
7330,can bread talk,1,can,"7,0,3","0, 473, 1281, 720, 2","['VERB', 'VERB', 'VERB']","['MD', 'VB', 'VB']"
7331,can bread cry,1,can,"7,0,3","0, 473, 1281, 1492, 2","['VERB', 'VERB', 'VERB']","['MD', 'VB', 'VB']"
7332,what kind of juice did you have before,2,did,"0,0,0,0,2,0,3,0","0, 312, 549, 340, 883, 407, 273, 381, 1000, 2","['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'PRON', 'AUX', 'ADP']","['WDT', 'NN', 'IN', 'NN', 'VBD', 'PRP', 'VB', 'IN']"
7333,who can't,1,can't,"0,7,0","0, 478, 377, 309, 2","['PRON', 'VERB', 'PART']","['WP', 'MD', 'RB']"
7334,hold your hand way up,1,hold,"0,0,0,0,0","0, 1667, 345, 701, 656, 403, 2","['VERB', 'DET', 'NOUN', 'ADV', 'ADV']","['VB', 'PRP$', 'NN', 'RB', 'RB']"
7335,what did you do,2,did,"0,2,0,3","0, 312, 407, 273, 299, 2","['PRON', 'AUX', 'PRON', 'AUX']","['WP', 'VBD', 'PRP', 'VB']"
7336,I guess it is Shadow Gay the horse's name again,1,guess,"0,1,0,1,0,0,0,0,0,0,0,0","0, 45, 1020, 290, 328, 12205, 834, 289, 272, 1344, 279, 766, 691, 2","['PRON', 'VERB', 'PRON', 'AUX', 'PROPN', 'PROPN', 'DET', 'NOUN', 'PART', 'NOUN', 'ADV']","['PRP', 'VBP', 'PRP', 'VBZ', 'NNP', 'NNP', 'DT', 'NN', 'POS', 'NN', 'RB']"
7337,it is Shadow Gay the horse's name again,1,is,"0,1,0,0,0,0,0,0,0,0","0, 274, 328, 12205, 834, 289, 272, 1344, 279, 766, 691, 2","['PRON', 'AUX', 'PROPN', 'PROPN', 'DET', 'NOUN', 'PART', 'NOUN', 'ADV']","['PRP', 'VBZ', 'NNP', 'NNP', 'DT', 'NN', 'POS', 'NN', 'RB']"
7338,Shadow Gay a horse,0,None,"0,0,0,0,0","0, 14007, 834, 289, 265, 1344, 2","['PROPN', 'PROPN', 'DET', 'NOUN']","['NNP', 'NNP', 'DT', 'NN']"
7339,why did you get such a soft pillow to put your head on,2,did,"0,2,0,3,0,0,0,0,0,3,0,0,0","0, 601, 407, 273, 394, 1962, 265, 1657, 2349, 302, 416, 345, 870, 307, 2","['ADV', 'AUX', 'PRON', 'AUX', 'DET', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP']","['WRB', 'VBD', 'PRP', 'VB', 'PDT', 'DT', 'JJ', 'NN', 'TO', 'VB', 'PRP$', 'NN', 'IN']"
7340,what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
7341,he watches Miss Jean,1,watches,"0,1,0,0","0, 262, 6407, 2815, 6609, 2","['PRON', 'VERB', 'PROPN', 'PROPN']","['PRP', 'VBZ', 'NNP', 'NNP']"
7342,Miss Jean,0,None,"0,0","0, 5549, 6609, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
7343,romper bomper stomper boo,0,None,"0,0,0,0,0,0","0, 32315, 5757, 1583, 2444, 1583, 1819, 2","['PROPN', 'PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP', 'NNP']"
7344,I think that was Paul dropping his pacifier in the other room,1,think,"0,1,0,2,0,5,0,0,0,0,0,0","0, 45, 399, 296, 405, 2397, 8006, 505, 7242, 318, 272, 617, 1008, 2","['PRON', 'VERB', 'DET', 'AUX', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']","['PRP', 'VBP', 'DT', 'VBD', 'NNP', 'VBG', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN']"
7345,that was Paul dropping his pacifier in the other room,2,was,"0,2,0,5,0,0,0,0,0,0","0, 363, 405, 2397, 8006, 505, 7242, 318, 272, 617, 1008, 2","['DET', 'AUX', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']","['DT', 'VBD', 'NNP', 'VBG', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN']"
7346,what is that Adam,1,is,"0,1,0,0","0, 312, 328, 296, 1834, 2","['PRON', 'AUX', 'SCONJ', 'PROPN']","['WP', 'VBZ', 'IN', 'NNP']"
7347,oh wheelbarrow,0,None,"0,0","0, 332, 8221, 2","['INTJ', 'PROPN']","['UH', 'NNP']"
7348,what's what,1,s,"0,4,0","0, 312, 279, 339, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'WP']"
7349,it sounded like I don't think it would be Simonize,2,sounded,"0,2,0,0,1,0,3,0,7,3,0,0","0, 274, 4929, 349, 322, 358, 309, 399, 290, 559, 372, 11577, 1823, 2","['PRON', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PART', 'VERB', 'PRON', 'VERB', 'AUX', 'PROPN']","['PRP', 'VBD', 'IN', 'PRP', 'VBP', 'RB', 'VB', 'PRP', 'MD', 'VB', 'NNP']"
7350,I don't think it would be Simonize,1,don't,"0,1,0,3,0,7,3,0,0","0, 45, 358, 309, 399, 290, 559, 372, 11577, 1823, 2","['PRON', 'AUX', 'PART', 'VERB', 'PRON', 'VERB', 'AUX', 'PROPN']","['PRP', 'VBP', 'RB', 'VB', 'PRP', 'MD', 'VB', 'NNP']"
7351,it would be Simonize,2,would,"0,7,3,0,0","0, 274, 559, 372, 11577, 1823, 2","['PRON', 'VERB', 'AUX', 'PROPN']","['PRP', 'MD', 'VB', 'NNP']"
7352,why not,0,None,"0,0","0, 601, 419, 2","['ADV', 'PART']","['WRB', 'RB']"
7353,you need a little more,1,need,"0,1,0,0,0","0, 266, 664, 265, 439, 525, 2","['PRON', 'VERB', 'DET', 'ADJ', 'ADJ']","['PRP', 'VBP', 'DT', 'JJ', 'JJR']"
7354,what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
7355,you have some thing to show me,1,have,"0,1,0,0,0,2,0","0, 266, 381, 430, 532, 302, 873, 376, 2","['PRON', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'PRON']","['PRP', 'VBP', 'DT', 'NN', 'TO', 'VB', 'PRP']"
7356,oh that's who we thought it was,1,s,"0,0,4,0,0,2,0,2","0, 332, 296, 279, 592, 331, 1006, 290, 405, 2","['INTJ', 'DET', 'AUX', 'PRON', 'PRON', 'VERB', 'PRON', 'AUX']","['UH', 'DT', 'VBZ', 'WP', 'PRP', 'VBD', 'PRP', 'VBD']"
7357,we thought it was,2,thought,"0,2,0,2","0, 379, 1006, 290, 405, 2","['PRON', 'VERB', 'PRON', 'AUX']","['PRP', 'VBD', 'PRP', 'VBD']"
7358,it was,2,was,"0,2","0, 274, 405, 2","['PRON', 'AUX']","['PRP', 'VBD']"
7359,okay,0,None,0,"0, 367, 2",['INTJ'],['UH']
7360,Adam come back,1,come,"0,1,0","0, 2637, 553, 511, 2","['PROPN', 'VERB', 'ADV']","['NNP', 'VB', 'RB']"
7361,oh that was very nice of you,2,was,"0,0,2,0,0,0,0","0, 332, 296, 405, 595, 666, 340, 273, 2","['INTJ', 'DET', 'AUX', 'ADV', 'ADJ', 'ADP', 'PRON']","['UH', 'DT', 'VBD', 'RB', 'JJ', 'IN', 'PRP']"
7362,what's what,1,s,"0,4,0","0, 312, 279, 339, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'WP']"
7363,careful it got caught around the chair,2,got,"0,0,2,8,0,0,0","0, 2041, 290, 449, 2583, 740, 272, 910, 2","['ADJ', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN']","['JJ', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN']"
7364,where's Cromer,1,s,"0,4,0","0, 442, 279, 4552, 2","['ADV', 'AUX', 'PROPN']","['WRB', 'VBZ', 'NNP']"
7365,where did he go,2,did,"0,2,0,0","0, 442, 407, 301, 316, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBD', 'PRP', 'VB']"
7366,he went to the mountains for the summer,2,went,"0,2,0,0,0,0,0,0","0, 262, 775, 302, 272, 6969, 397, 272, 2215, 2","['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']","['PRP', 'VBD', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NN']"
7367,what,0,None,0,"0, 312, 2",['PRON'],['WP']
7368,no Cromer,0,None,"0,0","0, 286, 4552, 2","['DET', 'PROPN']","['DT', 'NNP']"
7369,are you going,1,are,"1,0,5","0, 472, 273, 497, 2","['AUX', 'PRON', 'VERB']","['VBP', 'PRP', 'VBG']"
7370,chewy chewy gobble,0,None,"0,0,0","0, 32382, 9615, 4181, 2","['NOUN', 'NOUN', 'ADJ']","['NN', 'NN', 'JJ']"
7371,what are you drawing,1,are,"0,1,0,5","0, 312, 385, 273, 2742, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
7372,helmet,0,None,0,"0, 21443, 2",['PROPN'],['NNP']
7373,what kind of helmet,0,None,"0,0,0,0","0, 312, 549, 340, 2300, 2","['DET', 'NOUN', 'ADP', 'NOUN']","['WDT', 'NN', 'IN', 'NN']"
7374,me,0,None,0,"0, 373, 2",['PRON'],['PRP']
7375,oh you're drawing one for me,1,re,"0,0,4,5,0,0,0","0, 332, 273, 375, 2742, 383, 397, 376, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'NUM', 'ADP', 'PRON']","['UH', 'PRP', 'VBP', 'VBG', 'CD', 'IN', 'PRP']"
7376,pen comes out,1,comes,"0,1,0","0, 837, 1117, 428, 2","['PROPN', 'VERB', 'ADP']","['NNP', 'VBZ', 'RP']"
7377,paint,0,None,0,"0, 9664, 2",['NOUN'],['NN']
7378,what,0,None,0,"0, 312, 2",['PRON'],['WP']
7379,shadow,0,None,0,"0, 15032, 2",['PROPN'],['NNP']
7380,Shadow Gay,0,None,"0,0,0","0, 14007, 834, 289, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
7381,shadow what,0,None,"0,0","0, 15032, 339, 2","['VERB', 'PRON']","['VB', 'WP']"
7382,what happens when you brush him,1,happens,"0,1,0,0,1,0","0, 312, 1590, 536, 273, 1731, 502, 2","['PRON', 'VERB', 'ADV', 'PRON', 'VERB', 'PRON']","['WP', 'VBZ', 'WRB', 'PRP', 'VBP', 'PRP']"
7383,when you brush him,1,brush,"0,0,1,0","0, 952, 273, 1731, 502, 2","['ADV', 'PRON', 'VERB', 'PRON']","['WRB', 'PRP', 'VBP', 'PRP']"
7384,he rocks when you brush him,1,rocks,"0,1,0,0,1,0","0, 262, 3102, 536, 273, 1731, 502, 2","['PRON', 'VERB', 'ADV', 'PRON', 'VERB', 'PRON']","['PRP', 'VBZ', 'WRB', 'PRP', 'VBP', 'PRP']"
7385,when you brush him,1,brush,"0,0,1,0","0, 952, 273, 1731, 502, 2","['ADV', 'PRON', 'VERB', 'PRON']","['WRB', 'PRP', 'VBP', 'PRP']"
7386,no no no write on the paper,1,write,"0,0,0,1,0,0,0","0, 286, 361, 361, 1330, 307, 272, 1243, 2","['INTJ', 'INTJ', 'ADV', 'NOUN', 'ADP', 'DET', 'NOUN']","['UH', 'UH', 'RB', 'NN', 'IN', 'DT', 'NN']"
7387,pens are to write on paper,1,are,"0,1,0,3,0,0","0, 17545, 385, 302, 1330, 307, 1243, 2","['NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'NOUN']","['NNS', 'VBP', 'TO', 'VB', 'IN', 'NN']"
7388,help,1,help,1,"0, 2735, 2",['NOUN'],['NN']
7389,why did you need help,2,did,"0,2,0,3,0","0, 601, 407, 273, 664, 774, 2","['ADV', 'AUX', 'PRON', 'VERB', 'VERB']","['WRB', 'VBD', 'PRP', 'VB', 'VB']"
7390,can't you do it Adam,1,can't,"7,0,0,3,0,0","0, 473, 309, 273, 299, 290, 1834, 2","['VERB', 'PART', 'PRON', 'AUX', 'PRON', 'PROPN']","['MD', 'RB', 'PRP', 'VB', 'PRP', 'NNP']"
7391,you can do it even if you're big,1,can't,"0,7,3,0,0,0,0,4,0","0, 266, 377, 299, 290, 1052, 518, 273, 375, 535, 2","['PRON', 'VERB', 'AUX', 'PRON', 'ADV', 'SCONJ', 'PRON', 'AUX', 'ADJ']","['PRP', 'MD', 'VB', 'PRP', 'RB', 'IN', 'PRP', 'VBP', 'JJ']"
7392,even if you're big,1,re,"0,0,0,4,0","0, 3092, 518, 273, 375, 535, 2","['ADV', 'SCONJ', 'PRON', 'AUX', 'ADJ']","['RB', 'IN', 'PRP', 'VBP', 'JJ']"
7393,no you do it this time,1,do,"0,0,1,0,0,0","0, 286, 273, 299, 290, 346, 627, 2","['INTJ', 'PRON', 'AUX', 'PRON', 'DET', 'NOUN']","['UH', 'PRP', 'VBP', 'PRP', 'DT', 'NN']"
7394,yes,0,None,0,"0, 506, 2",['INTJ'],['UH']
7395,you don't mean big,1,don't,"0,1,0,3,0","0, 266, 358, 309, 687, 535, 2","['PRON', 'AUX', 'PART', 'VERB', 'ADJ']","['PRP', 'VBP', 'RB', 'VB', 'JJ']"
7396,you're too little to do it,1,re,"0,4,0,0,0,3,0","0, 266, 375, 498, 439, 302, 299, 290, 2","['PRON', 'AUX', 'ADV', 'ADJ', 'PART', 'AUX', 'PRON']","['PRP', 'VBP', 'RB', 'JJ', 'TO', 'VB', 'PRP']"
7397,too big,0,None,"0,0","0, 2132, 535, 2","['ADV', 'ADJ']","['RB', 'JJ']"
7398,you're big just like Mommy,1,re,"0,4,0,0,0,0","0, 266, 375, 535, 458, 349, 688, 2","['PRON', 'AUX', 'ADJ', 'ADV', 'SCONJ', 'PROPN']","['PRP', 'VBP', 'JJ', 'RB', 'IN', 'NNP']"
7399,where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBP', 'PRP', 'VBG']"
7400,well there's your blanket right there in the box,1,re,"0,0,4,0,0,0,0,0,0,0","0, 492, 386, 279, 345, 2134, 434, 386, 318, 272, 901, 2","['INTJ', 'PRON', 'AUX', 'DET', 'NOUN', 'ADV', 'ADV', 'ADP', 'DET', 'NOUN']","['UH', 'EX', 'VBZ', 'PRP$', 'NN', 'RB', 'RB', 'IN', 'DT', 'NN']"
7401,behind you,0,None,"0,0","0, 5645, 273, 2","['ADP', 'PRON']","['IN', 'PRP']"
7402,behind you,0,None,"0,0","0, 5645, 273, 2","['ADP', 'PRON']","['IN', 'PRP']"
7403,are you tired Adam,1,are,"1,0,0,0","0, 472, 273, 1516, 1834, 2","['AUX', 'PRON', 'ADJ', 'PROPN']","['VBP', 'PRP', 'JJ', 'NNP']"
7404,did I wake you up,2,did,"2,0,3,0,0","0, 546, 322, 2808, 273, 403, 2","['AUX', 'PRON', 'VERB', 'PRON', 'ADP']","['VBD', 'PRP', 'VB', 'PRP', 'RP']"
7405,oh I'm so sorry,1,m,"0,0,4,0,0","0, 332, 322, 488, 437, 1406, 2","['INTJ', 'PRON', 'AUX', 'ADV', 'ADJ']","['UH', 'PRP', 'VBP', 'RB', 'JJ']"
7406,were you having a dream,2,were,"2,0,5,0,0","0, 2445, 273, 1524, 265, 2691, 2","['AUX', 'PRON', 'VERB', 'DET', 'NOUN']","['VBD', 'PRP', 'VBG', 'DT', 'NN']"
7407,no,0,None,0,"0, 286, 2",['INTJ'],['UH']
